mechanism_axis,device_class,n_papers
architecture,all_perovskite_tandem,5
architecture,module,1
architecture,perovskite_silicon_tandem,3
architecture,single_junction,7
composition,module,1
composition,perovskite_silicon_tandem,1
composition,single_junction,39
defects,all_perovskite_tandem,3
defects,perovskite_silicon_tandem,3
defects,single_junction,40
interfaces,all_perovskite_tandem,1
interfaces,module,2
interfaces,perovskite_silicon_tandem,1
interfaces,single_junction,26
scale_up,module,3
scale_up,perovskite_silicon_tandem,1
scale_up,single_junction,8
stability,perovskite_silicon_tandem,1
stability,single_junction,21
