work_key,doi,title,venue,venue_type,publication_date,type,lang,axis_primary,axis_secondary,lens,mechanism_centrality,first_author_institution,cited_by_count,oa_status,in_depth_tier
10.1038/s41563-026-02619-1,10.1038/s41563-026-02619-1,UV and thermally stable hole-selective contacts with enhanced assembly density for inverted perovskite solar cells,Nature Materials,journal,2026-06-01,article,en,composition,,experimental,0.0,East China University Of Science And Technology,2,closed,0
10.1007/s13204-026-03171-9,10.1007/s13204-026-03171-9,Co-thermally evaporated Ag-Au thin films as composition-tuned back electrodes for CsEuCl₃-based lead-free perovskite solar cells,Applied Nanoscience,journal,2026-06-01,article,en,composition,,experimental,0.1,Thi Qar University,2,closed,0
10.1016/j.joule.2026.102521,10.1016/j.joule.2026.102521,2D perovskite as three-in-one interface modifier for efficient Pb-Sn perovskite solar cells and all-perovskite tandems,Joule,journal,2026-06-01,article,en,architecture,,experimental,0.0968,Northwestern Polytechnical University,2,closed,0
10.1002/pssb.70270,10.1002/pssb.70270,First‐Principles Study of the Thermoelectric and Optoelectronic Behavior of Lead‐Free Cs 2 AgSbBr 6 Halide Double Perovskite,physica status solidi (b),journal,2026-06-01,article,en,,,,,Poornima University,2,closed,0
10.1016/j.cej.2026.177954,10.1016/j.cej.2026.177954,Constructing carbon-based perovskite solar cells based on the energy bands of perovskite synergistically optimized by graphite fluorinated polymers,Chemical Engineering Journal,journal,2026-06-01,article,en,composition,,experimental,0.0,Yan'an University,1,closed,0
10.1007/s44442-026-00092-8,10.1007/s44442-026-00092-8,Rational design of triphenylamine–benzothiophene-based donor materials for enhanced photovoltaic performance in solar cells: a DFT study,Journal of Saudi Chemical Society,journal,2026-06-01,article,en,composition,,theory,0.0,University Of Okara,1,gold,0
10.1016/j.xcrp.2026.103346,10.1016/j.xcrp.2026.103346,Advancing wide-band-gap perovskite solar cells via vapor-phase deposition,Cell Reports Physical Science,journal,2026-06-01,article,en,composition,,review,0.1167,San’an Optoelectronics (china),1,gold,1
10.1002/adfm.76058,10.1002/adfm.76058,Unraveling the Concealed Role of Activation Energy in the Performance Assessment of Perovskite Solar Cells,Advanced Functional Materials,journal,2026-06-01,article,en,defects,,review,0.1136,University Of Electronic Science And Technology Of China,1,closed,0
10.1007/s12633-026-03689-1,10.1007/s12633-026-03689-1,"Integration of ZnO-BaTiO3 Nanocomposite Thin Films on Silicon: Structural, Morphological, and Electrical Property Studies",Silicon,journal,2026-06-01,article,en,composition,,experimental,0.0,Saurashtra University,1,closed,0
10.1063/5.0306180,10.1063/5.0306180,Investigation of electronic and optical properties in bismuth/antimony co-doped methylammonium lead bromide,AIP Advances,journal,2026-06-01,article,en,defects,,experimental,0.0455,Masinde Muliro University Of Science And Technology,1,gold,0
10.1016/j.mtcomm.2026.115611,10.1016/j.mtcomm.2026.115611,"A computational approach to discovering high-performance, lead-free perovskite solar cells using physics-informed neural networks",Materials Today Communications,journal,2026-06-01,article,en,composition,,experimental,0.1,,1,hybrid,0
10.1016/j.mtadv.2026.100832,10.1016/j.mtadv.2026.100832,Long-lived carbon-based perovskite solar cell in air and water via light concentrating encapsulation for battery-free indoor electronics,Materials Today Advances,journal,2026-06-01,article,en,stability,,experimental,0.1364,Mahidol University,1,gold,0
