work_key,doi,device_class,pce_champion,pce_certified,included_in_figure,exclusion_reason
10.1002/adma.73833,10.1002/adma.73833,single_junction,22.28,,1,
10.1002/adma.73567,10.1002/adma.73567,single_junction,23.33,,1,
10.1021/acs.jpclett.6c01458,10.1021/acs.jpclett.6c01458,single_junction,22.14,,1,
10.1002/adfm.76291,10.1002/adfm.76291,single_junction,26.52,,1,
10.1002/smll.74328,10.1002/smll.74328,single_junction,25.94,,1,
10.1126/science.aef5355,10.1126/science.aef5355,perovskite_silicon_tandem,33.2,33.6,1,
10.1021/acsami.6c06698,10.1021/acsami.6c06698,single_junction,24.42,,1,
10.1002/adma.73713,10.1002/adma.73713,all_perovskite_tandem,33.59,,1,
10.1021/acsami.6c02373,10.1021/acsami.6c02373,single_junction,25.16,,1,
10.1002/adfm.76643,10.1002/adfm.76643,single_junction,21.46,,1,
10.1002/aenm.71181,10.1002/aenm.71181,single_junction,25.18,,1,
10.1002/adma.73828,10.1002/adma.73828,single_junction,26.83,,1,
10.1002/smll.202514809,10.1002/smll.202514809,single_junction,23,,1,
10.1002/adfm.76273,10.1002/adfm.76273,single_junction,,,1,
10.1002/adfm.76418,10.1002/adfm.76418,single_junction,26.08,,1,
10.1002/adma.73535,10.1002/adma.73535,single_junction,26.13,,1,
10.1002/adma.202522825,10.1002/adma.202522825,single_junction,26.54,26.24,1,
10.1002/smll.74279,10.1002/smll.74279,single_junction,24.63,,1,
10.1002/adfm.76195,10.1002/adfm.76195,single_junction,,,0,lens=review
10.1002/adfm.75637,10.1002/adfm.75637,single_junction,20.59,,1,
10.1002/adfm.76623,10.1002/adfm.76623,single_junction,26.62,,1,
10.1002/adfm.76562,10.1002/adfm.76562,single_junction,25.69,,1,
10.1021/acsenergylett.6c00641,10.1021/acsenergylett.6c00641,single_junction,14.8,,0,lens=theory
10.1021/acsami.6c05326,10.1021/acsami.6c05326,single_junction,17.73,,1,
10.1002/solr.70394,10.1002/solr.70394,single_junction,20.05,,1,
