work_key,doi,title,venue,venue_type,publication_date,type,lang,axis_primary,axis_secondary,lens,mechanism_centrality,first_author_institution,cited_by_count,oa_status,in_depth_tier
10.1016/j.physb.2026.419007,10.1016/j.physb.2026.419007,"Structural, optoelectronic, elastic, thermodynamic, and thermoelectric properties of lead-free K2AgAlX6 (X = F, Cl, Br, and I) halide double perovskites: A first-principles study",Physica B Condensed Matter,journal,2026-07-01,article,en,,,,,Shri Venkateshwara University,3,closed,0
10.1126/sciadv.aeg1456,10.1126/sciadv.aeg1456,Unlocking 27.3% perovskite photovoltaics by interface-locked dual-molecule contact,Science Advances,journal,2026-07-01,article,en,stability,,scale_up,0.1364,Hebei University Of Technology,2,gold,1
10.1007/s11082-026-08983-1,10.1007/s11082-026-08983-1,"Strain-engineered electronic, optical, and thermoelectric properties of CsInCl₃ and CsInBr₃ halide perovskites for enhanced optoelectronic and heat energy conversion applications",Optical and Quantum Electronics,journal,2026-07-01,article,en,,,,,Islamia College University,2,closed,0
10.1016/j.joule.2026.102575,10.1016/j.joule.2026.102575,Triple-junction all-perovskite solar cells with self-assembling hole contacts in all subcells,Joule,journal,2026-07-01,article,en,architecture,interfaces,experimental,0.0968,Helmholtz-zentrum Berlin Für Materialien Und Energie,2,hybrid,1
10.1126/sciadv.aee4175,10.1126/sciadv.aee4175,Tetraphosphorylated phthalocyanine–based self-assembled monolayer stabilizes perovskite photovoltaics,Science Advances,journal,2026-07-01,article,en,interfaces,,scale_up,0.22,Shanghai Jiao Tong University,1,gold,1
10.1016/j.joule.2026.102579,10.1016/j.joule.2026.102579,Thermally activated proton transfer enables air-processed perovskite solar cells approaching 27%,Joule,journal,2026-07-01,article,en,composition,,experimental,0.0,North China Electric Power University,1,closed,0
10.1007/s00170-026-18590-9,10.1007/s00170-026-18590-9,Modeling the impact of proton irradiation on photoluminescence spectra of perovskite solar cells,The International Journal of Advanced Manufacturing Technology,journal,2026-07-01,article,en,defects,,experimental,0.1136,Asia University,1,hybrid,0
10.1016/j.mtcomm.2026.115918,10.1016/j.mtcomm.2026.115918,Temporal feature enhancement and flow matching microenvironment modeling for PCE prediction and process optimization of perovskite solar cells,Materials Today Communications,journal,2026-07-01,article,en,composition,,experimental,0.0167,,0,hybrid,0
10.1002/solr.70375,10.1002/solr.70375,Quantitative Hyperspectral Luminescence Imaging Reveals Upscaling Losses in Perovskite Solar Modules,Solar RRL,journal,2026-07-01,article,en,scale_up,,scale_up,0.0455,Institut De France,0,closed,1
10.1016/j.solener.2026.114792,10.1016/j.solener.2026.114792,Targeted agrivoltaic applications of lead-free double perovskites and plant light responses,Solar Energy,journal,2026-07-01,article,en,composition,,experimental,0.1,Xi'an University Of Architecture And Technology,0,closed,0
