work_key,doi,device_class,pce_champion,pce_certified,included_in_figure,exclusion_reason
10.1038/s41467-026-74018-8,10.1038/s41467-026-74018-8,module,,27.12,1,
10.1002/adma.74243,10.1002/adma.74243,single_junction,26.54,,1,
10.1016/j.hybadv.2026.100721,10.1016/j.hybadv.2026.100721,single_junction,29.1,,0,lens=theory
10.1021/acsenergylett.6c01489,10.1021/acsenergylett.6c01489,single_junction,26.23,,1,
10.1002/aenm.71305,10.1002/aenm.71305,single_junction,27.25,26.84,1,
10.1002/adfm.77373,10.1002/adfm.77373,single_junction,26.32,,1,
10.1021/acsaem.6c01671,10.1021/acsaem.6c01671,single_junction,,,1,
10.1021/acsaem.6c01560,10.1021/acsaem.6c01560,single_junction,,,1,
10.1002/adfm.77378,10.1002/adfm.77378,single_junction,26.13,,1,
10.1002/adma.74416,10.1002/adma.74416,single_junction,26.78,,1,
10.1038/s41467-026-75990-x,10.1038/s41467-026-75990-x,single_junction,26.26,,1,
10.1002/smll.74660,10.1002/smll.74660,single_junction,15.1,,1,
10.1002/adma.73950,10.1002/adma.73950,single_junction,26.7,,1,
10.1002/adfm.76848,10.1002/adfm.76848,single_junction,25.67,,1,
10.1002/adfm.77175,10.1002/adfm.77175,single_junction,25.76,,1,
10.1002/adfm.77486,10.1002/adfm.77486,single_junction,,,0,lens=review
10.1002/aenm.71312,10.1002/aenm.71312,single_junction,25.3,,1,
10.1002/adfm.77137,10.1002/adfm.77137,single_junction,,,1,
10.1002/solr.70425,10.1002/solr.70425,single_junction,13.7,,1,
10.1002/smll.74806,10.1002/smll.74806,single_junction,23.15,,1,
10.1002/adma.73886,10.1002/adma.73886,single_junction,26.33,,1,
10.1002/adfm.76878,10.1002/adfm.76878,single_junction,25.75,,1,
10.1021/acsenergylett.6c00992,10.1021/acsenergylett.6c00992,all_perovskite_tandem,,,1,
10.1021/acsaem.6c01637,10.1021/acsaem.6c01637,single_junction,21.53,,0,lens=theory
10.1002/anie.2924886,10.1002/anie.2924886,single_junction,26.81,,1,
10.1002/aenm.71259,10.1002/aenm.71259,single_junction,23.38,,1,
10.1002/anie.8080769,10.1002/anie.8080769,single_junction,27.06,26.82,1,
10.1002/adfm.77015,10.1002/adfm.77015,single_junction,26.33,,1,
10.1021/acsenergylett.6c01826,10.1021/acsenergylett.6c01826,single_junction,17.1,,1,
10.1002/adma.73807,10.1002/adma.73807,module,27.31,27.31,1,
10.1021/acsenergylett.6c01666,10.1021/acsenergylett.6c01666,single_junction,,,1,
10.1021/acs.chemrev.5c01014,10.1021/acs.chemrev.5c01014,perovskite_silicon_tandem,,,0,lens=review
10.1002/aenm.202506753,10.1002/aenm.202506753,all_perovskite_tandem,30,,1,
10.1007/s42114-026-01958-6,10.1007/s42114-026-01958-6,single_junction,22.16,,1,
