month,attempt,shipped,stage,process,role,cli,model,batch,n_papers,words_out,tokens_in,tokens_out,cache_read,est_tokens_out,token_source,at
2026-08,1,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,0,12,,6,15163,0,,reported,01:41:36
2026-08,2,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,1,12,,6,10980,7627,,reported,01:44:21
2026-08,3,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,2,12,,6,18457,7627,,reported,01:48:31
2026-08,4,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,3,12,,6,13560,7627,,reported,01:50:15
2026-08,5,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,4,12,,6,9668,7627,,reported,01:51:31
2026-08,6,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,5,12,,6,7940,7627,,reported,01:52:33
2026-08,7,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,6,12,,6,10961,7627,,reported,01:53:51
2026-08,8,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,7,12,,6,8485,7627,,reported,01:54:59
2026-08,9,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,8,12,,6,12509,7627,,reported,01:56:28
2026-08,10,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,9,12,,6,10275,7627,,reported,01:57:46
2026-08,11,no,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,10,12,,6,5647,7627,,reported,01:59:07
2026-08,12,yes,09_cards,"structured claim extraction, anchor-bound",extractor,opencode,opencode-go/qwen3.8-flash,11,12,,6,10827,7627,,reported,02:00:27
2026-08,1,yes,13c_s1,13c_s1,llm,agy,gemini-3.8-flash-high,,,155,,,,206,estimated,
2026-08,1,yes,13c_s2,13c_s2,llm,agy,gemini-3.8-flash-high,,,205,,,,273,estimated,
2026-08,1,yes,13c_s3,13c_s3,llm,agy,gemini-3.8-flash-high,,,565,,,,751,estimated,
2026-08,1,yes,13c_s4,13c_s4,llm,agy,gemini-3.8-flash-high,,,529,,,,704,estimated,
2026-08,1,yes,13c_s5,13c_s5,llm,agy,gemini-3.8-flash-high,,,455,,,,605,estimated,
2026-08,1,yes,13c_s6,13c_s6,llm,agy,gemini-3.8-flash-high,,,340,,,,452,estimated,
2026-08,1,yes,13c_s7,13c_s7,llm,agy,gemini-3.8-flash-high,,,362,,,,481,estimated,
2026-08,1,yes,13c_s8,13c_s8,llm,agy,gemini-3.8-flash-high,,,369,,,,491,estimated,
2026-08,1,no,13d_s1,13d_s1,llm,agy,gemini-3.8-flash-high,,,160,,,,213,estimated,
2026-08,1,no,13d_s2,13d_s2,llm,agy,gemini-3.8-flash-high,,,252,,,,335,estimated,
2026-08,1,no,13d_s3,13d_s3,llm,agy,gemini-3.8-flash-high,,,609,,,,810,estimated,
2026-08,1,no,13d_s4,13d_s4,llm,agy,gemini-3.8-flash-high,,,498,,,,662,estimated,
2026-08,1,no,13d_s5,13d_s5,llm,agy,gemini-3.8-flash-high,,,436,,,,580,estimated,
2026-08,1,no,13d_s6,13d_s6,llm,agy,gemini-3.8-flash-high,,,271,,,,360,estimated,
2026-08,1,no,13d_s7,13d_s7,llm,agy,gemini-3.8-flash-high,,,288,,,,383,estimated,
2026-08,1,no,13d_s8,13d_s8,llm,agy,gemini-3.8-flash-high,,,393,,,,523,estimated,
2026-08,1,no,13d_abstract,13d_abstract,llm,agy,gemini-3.8-flash-high,,,283,,,,376,estimated,
2026-08,2,no,13d_s1,13d_s1,llm,agy,gemini-3.8-flash-high,,,229,,,,305,estimated,
2026-08,2,no,13d_s2,13d_s2,llm,agy,gemini-3.8-flash-high,,,229,,,,305,estimated,
2026-08,2,no,13d_s3,13d_s3,llm,agy,gemini-3.8-flash-high,,,620,,,,825,estimated,
2026-08,2,no,13d_s4,13d_s4,llm,agy,gemini-3.8-flash-high,,,517,,,,688,estimated,
2026-08,2,no,13d_s5,13d_s5,llm,agy,gemini-3.8-flash-high,,,410,,,,545,estimated,
2026-08,2,no,13d_s6,13d_s6,llm,agy,gemini-3.8-flash-high,,,312,,,,415,estimated,
2026-08,2,no,13d_s7,13d_s7,llm,agy,gemini-3.8-flash-high,,,286,,,,380,estimated,
2026-08,2,no,13d_s8,13d_s8,llm,agy,gemini-3.8-flash-high,,,341,,,,454,estimated,
2026-08,2,no,13d_abstract,13d_abstract,llm,agy,gemini-3.8-flash-high,,,299,,,,398,estimated,
2026-08,3,yes,13d_s1,13d_s1,llm,agy,gemini-3.8-flash-high,,,186,,,,247,estimated,
2026-08,3,yes,13d_s2,13d_s2,llm,agy,gemini-3.8-flash-high,,,249,,,,331,estimated,
2026-08,3,yes,13d_s3,13d_s3,llm,agy,gemini-3.8-flash-high,,,609,,,,810,estimated,
2026-08,3,yes,13d_s4,13d_s4,llm,agy,gemini-3.8-flash-high,,,555,,,,738,estimated,
2026-08,3,yes,13d_s5,13d_s5,llm,agy,gemini-3.8-flash-high,,,433,,,,576,estimated,
2026-08,3,yes,13d_s6,13d_s6,llm,agy,gemini-3.8-flash-high,,,290,,,,386,estimated,
2026-08,3,yes,13d_s7,13d_s7,llm,agy,gemini-3.8-flash-high,,,277,,,,368,estimated,
2026-08,3,no,13d_s8,13d_s8,llm,agy,gemini-3.8-flash-high,,,363,,,,483,estimated,
2026-08,3,no,13d_abstract,13d_abstract,llm,agy,gemini-3.8-flash-high,,,307,,,,408,estimated,
2026-08,4,yes,13d_s8,13d_s8,llm,agy,gemini-3.8-flash-high,,,350,,,,466,estimated,
2026-08,4,yes,13d_abstract,13d_abstract,llm,agy,gemini-3.8-flash-high,,,289,,,,384,estimated,
2026-08,1,yes,01_harvest,OpenAlex/S2/Crossref/arXiv harvest (no LLM),none,python,,,,,0,0,,0,deterministic,2026-09-08T01:38:10
2026-08,1,yes,02_normalize,"DOI/title normalisation, language detect",none,python,,,,,0,0,,0,deterministic,2026-09-08T01:38:29
2026-08,1,yes,04_venues,journal citation percentile,none,python,,,,,0,0,,0,deterministic,2026-09-08T01:39:08
2026-08,1,yes,05_dedupe,work_key merge across sources,none,python,,,,,0,0,,0,deterministic,2026-09-08T01:38:29
2026-08,1,yes,06_mechanism,mechanism axis + lens keyword scoring,none,python,,,,,0,0,,0,deterministic,2026-09-08T01:38:30
2026-08,1,yes,08_subset,depth-tier selection + sensitivity draws,none,python,,,,,0,0,,0,deterministic,2026-09-08T01:39:08
2026-08,1,yes,10_stats,every citable number,none,python,,,,,0,0,,0,deterministic,2026-09-08T01:39:08
2026-08,1,yes,11_figures,figures plotted from stats/cards,none,python,,,,,0,0,,0,deterministic,2026-09-08T15:47:48
2026-08,1,yes,13c_draft_v3,13c_draft_v3,none,python,,,,,0,0,,0,deterministic,2026-09-08T02:29:39
2026-08,1,yes,18c_build_v3,18c_build_v3,none,python,,,,,0,0,,0,deterministic,2026-09-08T02:41:02
2026-08,1,yes,18d_build_v4,format assembly + gates + PDF,none,python,,,,,0,0,,0,deterministic,2026-09-08T17:54:00
2026-08,1,yes,19_si,supplementary information,none,python,,,,,0,0,,0,deterministic,2026-09-08T17:54:43
2026-08,1,yes,20_arxiv,arXiv bundle + CSV data pack,none,python,,,,,0,0,,0,deterministic,2026-09-08T17:54:47
2026-08,1,yes,21_tokens,21_tokens,none,python,,,,,0,0,,0,deterministic,2026-09-08T17:36:35
