work_key,doi,device_class,area_cm2,pce_percent
10.1038/s41467-026-76786-9,10.1038/s41467-026-76786-9,all_perovskite_tandem,0.09,28.14
10.1002/aenm.71419,10.1002/aenm.71419,single_junction,12,25.34
10.1002/adma.74469,10.1002/adma.74469,module,58.51,27.01
10.1002/aenm.71514,10.1002/aenm.71514,single_junction,1,26.17
10.1126/science.aeg8415,10.1126/science.aeg8415,single_junction,0.06,27.7
10.1002/solr.70449,10.1002/solr.70449,single_junction,6,15.77
10.1002/adma.74461,10.1002/adma.74461,all_perovskite_tandem,0.062,27.03
10.1002/smll.75056,10.1002/smll.75056,single_junction,12.4,24.86
10.1002/adfm.77805,10.1002/adfm.77805,all_perovskite_tandem,0.08,24.25
10.1002/smll.75360,10.1002/smll.75360,single_junction,0.0729,26.17
10.1038/s41467-026-76713-y,10.1038/s41467-026-76713-y,perovskite_silicon_tandem,1.164,21.1
10.1038/s41467-026-76848-y,10.1038/s41467-026-76848-y,single_junction,0.08,26.32
10.1002/adma.74828,10.1002/adma.74828,module,22.95,22.83
10.1002/adma.74438,10.1002/adma.74438,single_junction,0.09,27.06
10.1002/adma.74629,10.1002/adma.74629,single_junction,57.3,23.3
10.1021/acsnano.5c21962,10.1021/acsnano.5c21962,module,21,25.19
10.1002/anie.3883037,10.1002/anie.3883037,single_junction,1.004,23.24
10.1038/s41467-026-76425-3,10.1038/s41467-026-76425-3,single_junction,16.8,26.32
10.1002/anie.7848549,10.1002/anie.7848549,single_junction,12.95,27.05
10.1002/ente.70607,10.1002/ente.70607,single_junction,5,8.12
10.1002/advs.76950,10.1002/advs.76950,single_junction,29.7,23.14
10.1038/s43246-026-01321-8,10.1038/s43246-026-01321-8,all_perovskite_tandem,25,27.7
