mechanism_axis,device_class,n_papers
architecture,all_perovskite_tandem,7
architecture,module,1
architecture,perovskite_silicon_tandem,7
architecture,single_junction,2
composition,module,1
composition,single_junction,24
defects,all_perovskite_tandem,2
defects,module,1
defects,perovskite_silicon_tandem,1
defects,single_junction,38
interfaces,all_perovskite_tandem,2
interfaces,perovskite_silicon_tandem,2
interfaces,single_junction,28
scale_up,all_perovskite_tandem,1
scale_up,module,4
scale_up,single_junction,7
stability,all_perovskite_tandem,1
stability,single_junction,15
