metric,tier,n_detected,percent,denominator,printable,note
efficiency_stated,corpus,201,55.5,362,False,lower bound: validation set incomplete
stabilised,corpus,46,12.7,362,False,lower bound: validation set incomplete
certified,corpus,35,9.7,362,False,lower bound: validation set incomplete
area_stated,corpus,45,12.4,362,False,lower bound: validation set incomplete
hysteresis,corpus,13,3.6,362,False,lower bound: validation set incomplete
isos_label,corpus,7,1.9,362,False,lower bound: validation set incomplete
triplet_complete,corpus,15,4.1,362,False,lower bound: validation set incomplete
efficiency_stated,depth,84,58.3,144,False,lower bound: validation set incomplete
stabilised,depth,29,20.1,144,False,lower bound: validation set incomplete
certified,depth,19,13.2,144,False,lower bound: validation set incomplete
area_stated,depth,27,18.8,144,False,lower bound: validation set incomplete
hysteresis,depth,5,3.5,144,False,lower bound: validation set incomplete
isos_label,depth,2,1.4,144,False,lower bound: validation set incomplete
triplet_complete,depth,1,0.7,144,False,lower bound: validation set incomplete
