work_key,doi,venue,axis,lens,device_class,architecture,field,value,unit,source_quotation,text_basis
10.1007/s40820-026-02278-6,10.1007/s40820-026-02278-6,Nano-Micro Letters,defects,experimental,single_junction,p-i-n,pce_champion,26.21,%,"the 2-FAS-modified devices deliver a champion power conversion efficiency of 26.21%, with a significant fill factor of 86.15%",abstract
10.1002/adfm.77855,10.1002/adfm.77855,Advanced Functional Materials,defects,experimental,all_perovskite_tandem,tandem_2T,pce_champion,26.2,%,the stabilized top cell yields a champion efficiency of 26.20% with an improvement in storage stability,abstract
10.1002/adfm.77855,10.1002/adfm.77855,Advanced Functional Materials,defects,experimental,all_perovskite_tandem,tandem_2T,pce_stabilised,19.21,%,we fabricated a 1.83 eV WBG perovskite solar cell that achieves an open‐circuit voltage of 1.33 V and a stabilized efficiency of 19.21%,abstract
10.1002/aenm.71482,10.1002/aenm.71482,Advanced Energy Materials,interfaces,experimental,single_junction,p-i-n,pce_champion,26.38,%,"LW‐1 based devices exhibited 26.38% efficiency, outperforming corresponding LW‐2 based devices",abstract
10.1002/aenm.71482,10.1002/aenm.71482,Advanced Energy Materials,interfaces,experimental,single_junction,p-i-n,pce_stabilised,26.0,%,LW‐1 based devices exhibited steady‐state output efficiency of 26.0%,abstract
10.1021/acs.jpclett.6c02253,10.1021/acs.jpclett.6c02253,The Journal of Physical Chemistry Letters,defects,experimental,single_junction,n-i-p,pce_champion,21.05,%,"achieves an average power conversion efficiency (PCE) of 20.31% (champion 21.05%), outperforming the reference device (18.01%)",abstract
10.1016/j.joule.2026.102645,10.1016/j.joule.2026.102645,Joule,architecture,experimental,perovskite_silicon_tandem,tandem_2T,pce_champion,30.3,%,The improvement of the metal halide perovskite film quality on the MeO-2PACz/perovskite interface and the bulk perovskite film led to 30.3% (29.7% certified) efficient perovskite-silicon,abstract
10.1016/j.joule.2026.102645,10.1016/j.joule.2026.102645,Joule,architecture,experimental,perovskite_silicon_tandem,tandem_2T,pce_certified,29.7,%,led to 30.3% (29.7% certified) efficient perovskite-silicon tandem solar cell,abstract
10.1002/adfm.77712,10.1002/adfm.77712,Advanced Functional Materials,interfaces,experimental,single_junction,p-i-n,pce_champion,26.49,%,iPSCs treated by S‐AS achieve a champion power conversion efficiency (PCE) of 26.49% (25.70% for steady‐state output),abstract
10.1002/adfm.77712,10.1002/adfm.77712,Advanced Functional Materials,interfaces,experimental,single_junction,p-i-n,pce_stabilised,25.7,%,a champion power conversion efficiency (PCE) of 26.49% (25.70% for steady‐state output),abstract
10.1002/adfm.77504,10.1002/adfm.77504,Advanced Functional Materials,defects,experimental,single_junction,unknown,pce_champion,22.3,%,Two‐dimensional perovskite solar cells (GA(MA) 5 Pb 5 I 16 ) achieve a power conversion efficiency of 22.30% with improved stability,abstract
