work_key,doi,venue,axis,lens,device_class,architecture,field,value,unit,source_quotation,text_basis
10.1002/adma.202519138,10.1002/adma.202519138,Advanced Materials,defects,experimental,single_junction,p-i-n,pce_champion,26.35,%,the PSCs based on this layer achieve a champion power conversion efficiency (PCE) of 26.35%,abstract
10.1002/adma.202519138,10.1002/adma.202519138,Advanced Materials,defects,experimental,single_junction,p-i-n,t80_h,1392,h,manifesting in 80% initial PCE retention under heat stress of 85°C for 1392 h,abstract
10.1002/aenm.202506140,10.1002/aenm.202506140,Advanced Energy Materials,defects,experimental,single_junction,unknown,pce_champion,22.19,%,the CsPbI 3‐x Br x device achieves a power conversion efficiency of 22.19%,abstract
10.1038/s41467-025-68125-1,10.1038/s41467-025-68125-1,Nature Communications,defects,experimental,all_perovskite_tandem,tandem_2T,pce_champion,20.4,%,the single-junction 1.83 eV-WBG perovskite solar cells demonstrate a champion power conversion efficiency (PCE) of 20.4%,abstract
10.1007/s40820-025-01959-y,10.1007/s40820-025-01959-y,Nano-Micro Letters,interfaces,theory,perovskite_silicon_tandem,tandem_4T,pce_champion,30.97,%,a mechanically stacked four-terminal perovskite/silicon tandem solar cell reaching 30.97% efficiency,abstract
10.1007/s40820-025-01959-y,10.1007/s40820-025-01959-y,Nano-Micro Letters,interfaces,theory,perovskite_silicon_tandem,tandem_4T,pce_certified,23.42,%,leading to a certified efficiency of 23.42%,abstract
10.1021/acsenergylett.5c03470,10.1021/acsenergylett.5c03470,ACS Energy Letters,defects,experimental,single_junction,unknown,pce_champion,25.46,%,pMeO-treated PSCs achieve a power conversion efficiency of 25.46%,abstract
10.1007/s40820-025-02006-6,10.1007/s40820-025-02006-6,Nano-Micro Letters,architecture,experimental,all_perovskite_tandem,tandem_2T,pce_champion,28.49,%,The champion all-perovskite tandem PSCs with GSH achieve a PCE of 28.49%,abstract
10.1002/adfm.202529837,10.1002/adfm.202529837,Advanced Functional Materials,defects,experimental,single_junction,p-i-n,pce_champion,25.53,%,The resulting devices achieve a champion power conversion efficiency of 25.53%,abstract
10.1002/adma.202523338,10.1002/adma.202523338,Advanced Materials,interfaces,experimental,all_perovskite_tandem,tandem_2T,pce_champion,29.35,%,we fabricated all‐perovskite tandem devices that deliver maximum power conversion efficiencies of 29.35% (certified 28.98%) on 0.05 cm 2 and 28.83% (certified 28.49%) on 1,abstract
10.1002/adma.202523338,10.1002/adma.202523338,Advanced Materials,interfaces,experimental,all_perovskite_tandem,tandem_2T,pce_certified,28.98,%,we fabricated all‐perovskite tandem devices that deliver maximum power conversion efficiencies of 29.35% (certified 28.98%) on 0.05 cm 2 and 28.83% (certified 28.49%) on 1,abstract
10.1002/adma.202523338,10.1002/adma.202523338,Advanced Materials,interfaces,experimental,all_perovskite_tandem,tandem_2T,active_area_cm2,0.05,cm2,maximum power conversion efficiencies of 29.35% (certified 28.98%) on 0.05 cm 2,abstract
10.1002/adfm.202531784,10.1002/adfm.202531784,Advanced Functional Materials,defects,experimental,single_junction,unknown,pce_champion,25.05,%,the S‐P‐F‐MBAI passivation process yielded a device with a PCE of 25.05% (23.67% for the flexible device),abstract
10.1002/adfm.202531784,10.1002/adfm.202531784,Advanced Functional Materials,defects,experimental,single_junction,unknown,t80_h,1000,h,"keeping more than 95% and 80% of its original PCE after 1000 h under environmental conditions and MPP tracking conditions with continuous illumination, respectively",abstract
10.1038/s41467-025-68213-2,10.1038/s41467-025-68213-2,Nature Communications,architecture,experimental,all_perovskite_tandem,tandem_2T,pce_champion,29.2,%,We fabricated monolithic all-perovskite tandem solar cell with a high PCE of 29.2% (certified PCE of 29.2%),abstract
10.1038/s41467-025-68213-2,10.1038/s41467-025-68213-2,Nature Communications,architecture,experimental,all_perovskite_tandem,tandem_2T,pce_certified,29.2,%,"We fabricated monolithic all-perovskite tandem solar cell with a high PCE of 29.2% (certified PCE of 29.2%), which is the highest certified PCE for MA-free",abstract
10.1038/s41467-025-68213-2,10.1038/s41467-025-68213-2,Nature Communications,architecture,experimental,all_perovskite_tandem,tandem_2T,t80_h,800,h,The unencapsulated FACs-based mixed Pb-Sn perovskite solar cell remained over 80% of its initial PCE after 800 h of aging at 85 °C.,abstract
10.1002/adma.202519934,10.1002/adma.202519934,Advanced Materials,defects,experimental,single_junction,unknown,pce_champion,16.29,%,BCTB‐BSD‐COF‐based TPSCs achieve a champion power conversion efficiency of 16.29% (certified 15.88%) with an open‐circuit voltage of 0.95 V and a fill factor of 79.47%.,abstract
10.1002/adma.202519934,10.1002/adma.202519934,Advanced Materials,defects,experimental,single_junction,unknown,pce_certified,15.88,%,BCTB‐BSD‐COF‐based TPSCs achieve a champion power conversion efficiency of 16.29% (certified 15.88%) with an open‐circuit voltage of 0.95 V and a fill factor of 79.47%.,abstract
10.1002/smll.202512469,10.1002/smll.202512469,Small,defects,experimental,single_junction,unknown,pce_champion,23.25,%,the L12‐CMCNa‐modified devices deliver a champion power conversion efficiency (PCE) of 23.25% with a fill factor (FF) of 83.80%.,abstract
10.1016/j.decarb.2026.100147,10.1016/j.decarb.2026.100147,DeCarbon,interfaces,experimental,single_junction,p-i-n,pce_champion,24.75,%,PSCs processed by BILAYER exhibit high power conversion efficiencies (PCEs) of 24.75% (lab-scale area: 0.039 cm 2 ) and 20.47% (large area: 1 cm 2,abstract
