work_key,doi,device_class,pce_champion,pce_certified,included_in_figure,exclusion_reason
10.1002/adma.202519138,10.1002/adma.202519138,single_junction,26.35,,1,
10.1002/aenm.202506140,10.1002/aenm.202506140,single_junction,22.19,,1,
10.1038/s41467-025-68125-1,10.1038/s41467-025-68125-1,all_perovskite_tandem,20.4,,1,
10.1007/s40820-025-01959-y,10.1007/s40820-025-01959-y,perovskite_silicon_tandem,30.97,23.42,0,lens=theory
10.1021/acsenergylett.5c03470,10.1021/acsenergylett.5c03470,single_junction,25.46,,1,
10.1007/s40820-025-02006-6,10.1007/s40820-025-02006-6,all_perovskite_tandem,28.49,,1,
10.1021/acs.jpclett.5c03476,10.1021/acs.jpclett.5c03476,single_junction,,,0,lens=theory
10.1002/adfm.202529837,10.1002/adfm.202529837,single_junction,25.53,,1,
10.1002/adma.202523338,10.1002/adma.202523338,all_perovskite_tandem,29.35,28.98,1,
10.1002/cey2.70183,10.1002/cey2.70183,single_junction,,,0,lens=review
10.1002/adfm.202531784,10.1002/adfm.202531784,single_junction,25.05,,1,
10.1038/s41467-025-68213-2,10.1038/s41467-025-68213-2,all_perovskite_tandem,29.2,29.2,1,
10.1038/s41377-025-02120-5,10.1038/s41377-025-02120-5,all_perovskite_tandem,,,0,lens=review
10.1002/adma.202519934,10.1002/adma.202519934,single_junction,16.29,15.88,1,
10.1021/acsenergylett.5c03341,10.1021/acsenergylett.5c03341,all_perovskite_tandem,,,0,lens=review
10.1002/smll.202512469,10.1002/smll.202512469,single_junction,23.25,,1,
10.1016/j.decarb.2026.100147,10.1016/j.decarb.2026.100147,single_junction,24.75,,1,
10.1002/adfm.202524231,10.1002/adfm.202524231,single_junction,26.08,,1,
10.1002/adma.202521789,10.1002/adma.202521789,single_junction,,,0,lens=review
10.1002/smll.202508334,10.1002/smll.202508334,single_junction,21.82,,1,
10.1038/s41467-025-68207-0,10.1038/s41467-025-68207-0,single_junction,26.2,,1,
10.1038/s41467-026-68904-4,10.1038/s41467-026-68904-4,all_perovskite_tandem,27.11,26.3,1,
10.1007/s40820-025-02010-w,10.1007/s40820-025-02010-w,single_junction,25.6,,1,
10.1021/acsenergylett.5c03328,10.1021/acsenergylett.5c03328,single_junction,26.39,,1,
10.1002/aenm.202505931,10.1002/aenm.202505931,module,13.78,,1,
