work_key,doi,device_class,area_cm2,pce_percent
10.1002/adma.202523338,10.1002/adma.202523338,all_perovskite_tandem,0.05,29.35
10.1016/j.decarb.2026.100147,10.1016/j.decarb.2026.100147,single_junction,0.039,24.75
10.1038/s41467-025-68207-0,10.1038/s41467-025-68207-0,single_junction,0.072,26.2
10.1007/s40820-025-01962-3,10.1007/s40820-025-01962-3,perovskite_silicon_tandem,0.135,29.73
10.1126/science.aea0656,10.1126/science.aea0656,module,1.1,25.4
10.1038/s41467-026-68439-8,10.1038/s41467-026-68439-8,single_junction,0.0665,26.5
10.1021/acsenergylett.5c03901,10.1021/acsenergylett.5c03901,single_junction,14,26.01
10.1021/acsami.5c23126,10.1021/acsami.5c23126,single_junction,4,22.67
10.1002/anie.202516537,10.1002/anie.202516537,single_junction,64.68,26.41
10.1002/anie.202525815,10.1002/anie.202525815,module,10.24,26.9
10.1002/adma.72622,10.1002/adma.72622,single_junction,1,26.9
10.1007/s40820-025-02058-8,10.1007/s40820-025-02058-8,single_junction,6.8,26.22
10.1002/adma.202522508,10.1002/adma.202522508,single_junction,0.06,26.5
10.1002/adma.202520776,10.1002/adma.202520776,single_junction,1,24.3
10.1038/s41563-026-02494-w,10.1038/s41563-026-02494-w,single_junction,0.25,19.3
10.1038/s41467-026-69264-9,10.1038/s41467-026-69264-9,module,10.13,22.03
10.1002/adfm.202524302,10.1002/adfm.202524302,single_junction,1,25.82
10.1002/aenm.202504928,10.1002/aenm.202504928,module,31.5,22.3
10.1021/acs.jpclett.5c03830,10.1021/acs.jpclett.5c03830,single_junction,0.055,24.9
10.1126/sciadv.aea7629,10.1126/sciadv.aea7629,single_junction,0.07,26.3
10.1016/j.solmat.2026.114223,10.1016/j.solmat.2026.114223,perovskite_silicon_tandem,16,22.1
10.1021/acsnano.5c18423,10.1021/acsnano.5c18423,single_junction,0.16,22.51
10.1021/acsami.5c22032,10.1021/acsami.5c22032,single_junction,59.5,20.8
10.1002/anie.4012708,10.1002/anie.4012708,single_junction,11.0,26.48
10.1038/s41467-026-70002-4,10.1038/s41467-026-70002-4,perovskite_silicon_tandem,60,19.45
10.1002/aenm.202506494,10.1002/aenm.202506494,single_junction,0.12,22.2
10.1002/smll.202600050,10.1002/smll.202600050,single_junction,0.09,23.3
10.1016/j.chempr.2026.102941,10.1016/j.chempr.2026.102941,single_junction,0.108,23.67
10.1016/j.esci.2026.100563,10.1016/j.esci.2026.100563,perovskite_silicon_tandem,1.0,32.17
10.1002/adma.202521898,10.1002/adma.202521898,all_perovskite_tandem,0.0396,28.59
10.1002/anie.202520159,10.1002/anie.202520159,single_junction,0.09,25.57
10.1002/adfm.202532203,10.1002/adfm.202532203,module,16.41,19.89
10.1002/solr.70324,10.1002/solr.70324,single_junction,0.105,22.5
10.1038/s41467-026-70848-8,10.1038/s41467-026-70848-8,all_perovskite_tandem,64.64,28.16
10.1002/smll.202514478,10.1002/smll.202514478,single_junction,20.25,25.63
10.1021/acsaem.6c00375,10.1021/acsaem.6c00375,single_junction,0.148,20.69
10.1002/flm2.70045,10.1002/flm2.70045,module,0.049,27.5
10.1021/acsami.6c00384,10.1021/acsami.6c00384,single_junction,0.148,20.7
10.48550/arxiv.2603.21657,10.48550/arxiv.2603.21657,single_junction,0.108,23.67
10.1002/aenm.70966,10.1002/aenm.70966,single_junction,0.08,26.78
10.1002/adma.73036,10.1002/adma.73036,single_junction,4,26.17
10.1002/adfm.202529123,10.1002/adfm.202529123,single_junction,0.09,25.56
10.1002/adma.72986,10.1002/adma.72986,all_perovskite_tandem,0.09,26.75
10.1002/anie.9286497,10.1002/anie.9286497,module,0.045,26.87
10.1002/aenm.70925,10.1002/aenm.70925,single_junction,0.058,26.87
10.1002/anie.3596437,10.1002/anie.3596437,single_junction,0.09,27.05
10.1002/adfm.75347,10.1002/adfm.75347,single_junction,0.048,26.13
10.1002/adma.73221,10.1002/adma.73221,single_junction,1,22.06
10.1038/s41467-026-72094-4,10.1038/s41467-026-72094-4,all_perovskite_tandem,1.0,31.04
10.1021/acsami.6c03372,10.1021/acsami.6c03372,single_junction,0.09,26.63
10.1038/s41467-026-71301-6,10.1038/s41467-026-71301-6,single_junction,0.0717,26.95
10.1016/j.cej.2026.176242,10.1016/j.cej.2026.176242,single_junction,64,7.78
10.1002/smll.73353,10.1002/smll.73353,single_junction,0.09,26.1
10.1002/solr.70353,10.1002/solr.70353,module,694.5,23.3
10.1126/sciadv.aec3238,10.1126/sciadv.aec3238,single_junction,100,26.59
10.1002/smtd.70654,10.1002/smtd.70654,module,3.9,41.6
10.1002/adma.73502,10.1002/adma.73502,module,10.08,21.56
10.1002/adma.73286,10.1002/adma.73286,single_junction,21.5,26.7
10.1038/s41467-026-72790-1,10.1038/s41467-026-72790-1,single_junction,1,26.71
10.1002/ece2.70082,10.1002/ece2.70082,single_junction,0.09,25.37
10.1002/adma.73373,10.1002/adma.73373,single_junction,13.04,26.31
10.1038/s41467-026-72794-x,10.1038/s41467-026-72794-x,perovskite_silicon_tandem,1,33.84
10.1002/smll.73891,10.1002/smll.73891,single_junction,0.096,26.41
10.1002/aenm.71068,10.1002/aenm.71068,single_junction,47.84,26.87
10.1021/acsenergylett.6c00820,10.1021/acsenergylett.6c00820,single_junction,1,21.1
10.1002/aenm.71111,10.1002/aenm.71111,single_junction,651,26.62
10.1038/s41467-026-72793-y,10.1038/s41467-026-72793-y,single_junction,14,26.34
10.1126/sciadv.aec4431,10.1126/sciadv.aec4431,all_perovskite_tandem,1,33.63
10.1002/aenm.71036,10.1002/aenm.71036,perovskite_silicon_tandem,1,31.25
10.1002/anie.5162616,10.1002/anie.5162616,all_perovskite_tandem,1,32.26
10.1002/smll.74000,10.1002/smll.74000,module,10.0,21.2
10.1002/smll.73673,10.1002/smll.73673,single_junction,0.09,26.6
10.1002/anie.7292679,10.1002/anie.7292679,module,20.25,15.7
10.1021/acsenergylett.6c00476,10.1021/acsenergylett.6c00476,module,0.0727,26.47
10.1002/inf2.70153,10.1002/inf2.70153,single_junction,64,19.37
10.1002/anie.4293157,10.1002/anie.4293157,single_junction,0.074,22.41
10.1126/science.aef5355,10.1126/science.aef5355,perovskite_silicon_tandem,1,33.2
10.1002/adma.73561,10.1002/adma.73561,single_junction,0.05,26.14
10.1002/anie.4500167,10.1002/anie.4500167,single_junction,1.04,26.66
10.1002/adfm.76257,10.1002/adfm.76257,single_junction,0.04,26.09
10.1002/adfm.76756,10.1002/adfm.76756,single_junction,12,26.76
10.1002/anie.2974414,10.1002/anie.2974414,module,50,26.52
10.1002/adma.73656,10.1002/adma.73656,single_junction,0.0524,26.6
10.1038/s41467-026-74288-2,10.1038/s41467-026-74288-2,single_junction,29.7,26.88
10.1021/acsenergylett.6c01291,10.1021/acsenergylett.6c01291,single_junction,0.1,26.54
10.1002/adma.73855,10.1002/adma.73855,module,655.2,27.12
