work_key,doi,title,venue,venue_type,publication_date,type,lang,axis_primary,axis_secondary,lens,mechanism_centrality,first_author_institution,cited_by_count,oa_status,in_depth_tier
10.1021/jacs.5c16976,10.1021/jacs.5c16976,Fused-Ring Electron Acceptors as a Versatile Additive Platform for Efficient Perovskite Photovoltaics,Journal of the American Chemical Society,journal,2026-01-02,article,en,,,,,Peking University,10,closed,1
10.1002/adma.202519934,10.1002/adma.202519934,Multidentate Chelation by Imine‐Linked Covalent Organic Framework Enables High‐Performance Tin‐Based Perovskite Solar Cells,Advanced Materials,journal,2026-01-02,article,en,,,,,Beijing National Laboratory For Molecular Sciences,7,closed,1
10.1016/j.materresbull.2026.113989,10.1016/j.materresbull.2026.113989,Low-cost bimolecular synergistic passivation of the perovskite buried interface for the perovskite solar cell,Materials Research Bulletin,journal,2026-01-02,article,en,,,,,Quanzhou Normal University,6,closed,0
10.1002/aenm.202504060,10.1002/aenm.202504060,Decoding Interfacial Charge‐Carrier Dynamics in Integrated Perovskite/Organic Solar Cells via Numerical Modeling,Advanced Energy Materials,journal,2026-01-02,article,en,,,,,Friedrich-alexander-universität Erlangen-nürnberg,5,hybrid,0
10.1021/acs.jpclett.5c03476,10.1021/acs.jpclett.5c03476,Co-passivation of Buried Interfaces in Perovskite Solar Cells with Sulfonate and Amine Salts,The Journal of Physical Chemistry Letters,journal,2026-01-02,article,en,,,,,University Of Science And Technology Of China,3,closed,1
10.1016/j.nanoen.2025.111696,10.1016/j.nanoen.2025.111696,Thermal-electrical dual management for efficient and stable wide-bandgap perovskite solar cells,Nano Energy,journal,2026-01-02,article,en,,,,,Ocean University Of China,3,closed,0
10.1016/j.ssc.2026.116311,10.1016/j.ssc.2026.116311,Efficient lead-free FASnI3 perovskite solar cells using ZnO/Ag NPs /ZnO transparent electrode: Experimental analysis and SCAPS-1D simulation,Solid State Communications,journal,2026-01-02,article,en,,,,,University Of Batna 1,1,closed,0
10.1021/acsami.5c12441,10.1021/acsami.5c12441,"Defect-Immune Perovskite Photovoltaics via Molecular Vise Engineering: A Pathway to Scalable, Encapsulation-Free Production under Mild Conditions",ACS Applied Materials & Interfaces,journal,2026-01-02,article,en,,,,,Harbin University Of Science And Technology,0,closed,1
10.26554/sti.2026.11.1.298-310,10.26554/sti.2026.11.1.298-310,The Synthesis of CH₃NH₃PbI₃₋ₓBrₓ under Uncontrolled Humidity for Perovskite Solar Cell Application,Science & Technology Indonesia,journal,2026-01-02,article,en,,,,,Yogyakarta State University,0,gold,0
10.5281/zenodo.18134891,10.5281/zenodo.18134891,Perovskite and Quantum Dot Solar Cells - Recent Advances and Hybrid Architectures,OSF Preprints (OSF Preprints),repository,2026-01-02,preprint,en,,,,,,0,green,1
10.1016/j.surfin.2025.108397,10.1016/j.surfin.2025.108397,Phenanthrenequinone-based molecular films as interlayers for perovskite solar cells: Impact of aryl substituents,Surfaces and Interfaces,journal,2026-01-02,article,en,,,,,National Taiwan University Of Science And Technology,0,closed,0
10.5281/zenodo.18134892,10.5281/zenodo.18134892,Perovskite and Quantum Dot Solar Cells - Recent Advances and Hybrid Architectures,Zenodo (CERN European Organization for Nuclear Research),repository,2026-01-02,article,en,,,,,,0,green,0
10.1016/j.ssc.2026.116314,10.1016/j.ssc.2026.116314,Improvement and optimization of lead-free and eco-friendly InGeCl3 based perovskite solar cells: From first principal calculation to SCAPS-1D simulation,Solid State Communications,journal,2026-01-02,article,en,,,,,École Normale Supérieure Casablanca,0,closed,0
10.1080/0371750x.2026.2638419,10.1080/0371750x.2026.2638419,Utilizing Various Hole Transport Materials to Improve PCE of a Double Perovskite Bi 2 FeCrO 6 Solar Cell via Numerical Simulation,Transactions of the Indian Ceramic Society,journal,2026-01-02,article,en,,,,,Maharaja Engineering College,0,closed,0
10.1080/15397734.2026.2638430,10.1080/15397734.2026.2638430,Geometrically nonlinear transient response of perovskite-based sandwich cylindrical panels with butterfly-shaped auxetic core under thermo-electro-mechanical and impact loads,Mechanics Based Design of Structures and Machines,journal,2026-01-02,article,en,,,,,K. N. Toosi University Of Technology,0,closed,0
10.5281/zenodo.21330252,10.5281/zenodo.21330252,Low Temperature Processed Tin Oxide Thin Films for Efficient Electron Transport in Perovskite Solar Cells,Zenodo (CERN European Organization for Nuclear Research),repository,2026-01-02,article,en,,,,,Dagon University,0,green,0
10.5281/zenodo.21330253,10.5281/zenodo.21330253,Low Temperature Processed Tin Oxide Thin Films for Efficient Electron Transport in Perovskite Solar Cells,Zenodo (CERN European Organization for Nuclear Research),repository,2026-01-02,article,en,,,,,Dagon University,0,green,0
10.1038/s41467-025-68125-1,10.1038/s41467-025-68125-1,Crystallization modulation for wide-bandgap perovskites with universal defect passivation toward efficient perovskite/organic tandem photovoltaics,Nature Communications,journal,2026-01-03,article,en,,,,,Wuhan University Of Technology,22,gold,1
10.1016/j.surfcoat.2026.133150,10.1016/j.surfcoat.2026.133150,Integrated hybrid SALD-PVD platform for scalable electron contact layer engineering in perovskite/silicon tandem solar cells,Surface and Coatings Technology,journal,2026-01-03,article,en,,,,,Fraunhofer Institute For Surface Engineering And Thin Films,0,green,0
10.1007/s11664-025-12618-8,10.1007/s11664-025-12618-8,Magnetron Sputtering Production of High-Quality ITO Layer for Large-Area Semitransparent Perovskite Solar Cells,Journal of Electronic Materials,journal,2026-01-03,article,en,,,,,Hangzhou Dianzi University,0,closed,0
10.1038/s41377-025-02120-5,10.1038/s41377-025-02120-5,Light management in monolithic all-perovskite tandem solar cells,Light Science & Applications,journal,2026-01-04,article,en,,,,,Collaborative Innovation Center Of Advanced Microstructures,8,gold,1
10.1002/aenm.202505931,10.1002/aenm.202505931,Multimodal Strategy for Efficient Semi‐Transparent Perovskite Solar Cells and Modules with Record Indoor Performance,Advanced Energy Materials,journal,2026-01-04,article,en,,,,,University College London,8,hybrid,1
10.1016/j.rineng.2026.108976,10.1016/j.rineng.2026.108976,"Polymer Photocatalysts for Green Energy and Environmental Remediation: Recent Progress, Challenges, and Future Directions",Results in Engineering,journal,2026-01-04,article,en,,,,,Queensland University Of Technology,8,gold,1
10.3390/app16010501,10.3390/app16010501,"Life-Cycle Assessment of Innovative Industrial Processes for Photovoltaic Production: Process-Level LCIs, Scale-Up Dynamics, and Recycling Implications",Applied Sciences,journal,2026-01-04,article,en,,,,,University Of West Attica,6,gold,1
10.1002/advs.202520934,10.1002/advs.202520934,Electron‐Phonon Interactions Facilitating Large Polaron‐Related Charge‐Carrier Dynamics for Efficient Perovskite Nanocrystal Solar Cells,Advanced Science,journal,2026-01-04,article,en,,,,,,4,gold,0
10.1007/s40843-025-3630-2,10.1007/s40843-025-3630-2,Dual-interface engineering strategy for optimizing carrier dynamics in perovskite-silicon tandem solar cells,Science China Materials,journal,2026-01-04,article,en,,,,,Hebei University Of Technology,3,closed,0
10.1016/j.mtener.2026.102197,10.1016/j.mtener.2026.102197,Improved environmental stability of perovskite films enabled by a one-pot synthesized eco-friendly additive,Materials Today Energy,journal,2026-01-04,article,en,,,,,Universidad Autónoma De La Ciudad De México,1,hybrid,0
10.1016/j.mtener.2026.102194,10.1016/j.mtener.2026.102194,Beyond crystallization control: Functionalized boron nitride as an interface modifier for high efficiency perovskite solar cells,Materials Today Energy,journal,2026-01-04,article,en,,,,,Konkuk University,1,closed,0
10.1016/j.mtener.2026.102196,10.1016/j.mtener.2026.102196,"Efficient, ambient-air-processed perovskite solar cells achieved through synergistic defect passivation at the SnO2/Perovskite interface with guanidinium sulfamate",Materials Today Energy,journal,2026-01-04,article,en,,,,,Yunnan Normal University,1,closed,0
10.1002/advs.202521037,10.1002/advs.202521037,Tailored Monolayer Co‐Assembly for Enhanced Efficiency and Stability in Inverted Perovskite Solar Cells,Advanced Science,journal,2026-01-04,article,en,,,,,Collaborative Innovation Center Of Chemistry For Energy Materials,1,gold,0
10.1002/eem2.70212,10.1002/eem2.70212,"Design of B,N Co‐Doped Carbon Spheres for Highly Effective Back Interface Engineering in Planar Carbon‐Based Perovskite Solar Cells",Energy & environment materials,journal,2026-01-04,article,en,,,,,Hebei Normal University,1,hybrid,0
10.1007/s11426-025-3010-8,10.1007/s11426-025-3010-8,Synchronously modulating the strength of chemical and electric field-induced passivation for robust and efficient perovskite photovoltaics,Science China Chemistry,journal,2026-01-04,article,en,,,,,Henan University,1,closed,0
10.1007/s40843-025-3708-y,10.1007/s40843-025-3708-y,Multidirectional self-driven polarization-sensitive photodetection induced by asymmetric contact,Science China Materials,journal,2026-01-04,article,en,,,,,City University Of Hong Kong,1,closed,0
