metric,tier,n_detected,percent,denominator,printable,note
efficiency_stated,corpus,1167,52.1,2238,False,lower bound: validation set incomplete
stabilised,corpus,246,11.0,2238,False,lower bound: validation set incomplete
certified,corpus,191,8.5,2238,False,lower bound: validation set incomplete
area_stated,corpus,188,8.4,2238,False,lower bound: validation set incomplete
hysteresis,corpus,60,2.7,2238,False,lower bound: validation set incomplete
isos_label,corpus,38,1.7,2238,False,lower bound: validation set incomplete
triplet_complete,corpus,64,2.9,2238,False,lower bound: validation set incomplete
efficiency_stated,depth,542,61.3,884,False,lower bound: validation set incomplete
stabilised,depth,153,17.3,884,False,lower bound: validation set incomplete
certified,depth,125,14.1,884,False,lower bound: validation set incomplete
area_stated,depth,117,13.2,884,False,lower bound: validation set incomplete
hysteresis,depth,28,3.2,884,False,lower bound: validation set incomplete
isos_label,depth,29,3.3,884,False,lower bound: validation set incomplete
triplet_complete,depth,2,0.2,884,False,lower bound: validation set incomplete
