mechanism_axis,device_class,n_papers
architecture,all_perovskite_tandem,39
architecture,module,3
architecture,perovskite_silicon_tandem,31
architecture,single_junction,37
composition,all_perovskite_tandem,1
composition,module,1
composition,perovskite_silicon_tandem,2
composition,single_junction,147
defects,all_perovskite_tandem,13
defects,module,5
defects,perovskite_silicon_tandem,5
defects,single_junction,200
interfaces,all_perovskite_tandem,6
interfaces,module,4
interfaces,perovskite_silicon_tandem,5
interfaces,single_junction,191
scale_up,module,17
scale_up,perovskite_silicon_tandem,2
scale_up,single_junction,54
stability,all_perovskite_tandem,4
stability,module,8
stability,perovskite_silicon_tandem,3
stability,single_junction,94
