work_key,doi,device_class,t80_hours,stability_protocol,source_quotation
10.1002/adma.202519138,10.1002/adma.202519138,single_junction,1392,,manifesting in 80% initial PCE retention under heat stress of 85°C for 1392 h
10.1002/adfm.202531784,10.1002/adfm.202531784,single_junction,1000,,"keeping more than 95% and 80% of its original PCE after 1000 h under environmental conditions and MPP tracking conditions with continuous illumination, respectively"
10.1038/s41467-025-68213-2,10.1038/s41467-025-68213-2,all_perovskite_tandem,800,,The unencapsulated FACs-based mixed Pb-Sn perovskite solar cell remained over 80% of its initial PCE after 800 h of aging at 85 °C.
10.1002/aenm.202505931,10.1002/aenm.202505931,module,268,,The unencapsulated ST‐PSCs retain 79.6% of initial PCE after 268 h of continuous standard light soaking
10.1002/adfm.202521919,10.1002/adfm.202521919,single_junction,600,,"unencapsulated devices show improved stability, retaining approximately 80% of their initial PCE after 600 h of continuous operation at maximum power point"
10.1021/acsami.5c18622,10.1021/acsami.5c18622,single_junction,460,,the device retains 80% of the initial PCE after 460 h of maximum power point tracking
10.1002/anie.202523665,10.1002/anie.202523665,single_junction,,ISOS-L-1,
10.1002/solr.202500840,10.1002/solr.202500840,single_junction,700,,TPA‐Py modification extended the T80 lifetime to ≈700 h compared to only 200 h for the reference under harsh heating stress in ambient conditions.
10.1007/s40820-025-02058-8,10.1007/s40820-025-02058-8,single_junction,1050,,the PSCs with in situ formed 2D/3D perovskite heterojunctions retained 90% and 80% of their initial PCE after 1200 h photothermal stability and 1050 h
10.1002/adma.202519339,10.1002/adma.202519339,single_junction,,ISOS,
10.1038/s41563-026-02494-w,10.1038/s41563-026-02494-w,single_junction,,ISOS-L-2,
10.1038/s41467-026-69685-6,10.1038/s41467-026-69685-6,module,,ISOS-D-1,
10.1002/adfm.202532100,10.1002/adfm.202532100,single_junction,500,,maintain 80% after 500 h continuous illumination
10.1016/j.scib.2026.02.050,10.1016/j.scib.2026.02.050,single_junction,,ISOS-L-1,
10.1021/acsaem.5c03517,10.1021/acsaem.5c03517,single_junction,1347,ISOS-D1,phthalocyanine (DMPO4) molecule synthesized for this work also enhanced device stability under ISOS-D1 tests with the average T 80 increasing from 1134 h to 1347
10.1002/adma.72823,10.1002/adma.72823,single_junction,,ISOS-L-2I,
10.1002/adma.72936,10.1002/adma.72936,all_perovskite_tandem,,ISOS-L-1,
10.1021/acsami.6c00026,10.1021/acsami.6c00026,single_junction,560,,retaining 80% of their initial efficiency after continuous thermal aging at 85 °C for 560 h
10.1002/adma.202520432,10.1002/adma.202520432,single_junction,,ISOS-L2,
10.1021/acsenergylett.5c04243,10.1021/acsenergylett.5c04243,all_perovskite_tandem,1000,,the tandem devices maintain 80% initial efficiency after 1000 h of continuous operation
10.1002/adfm.202531060,10.1002/adfm.202531060,single_junction,1300,,retains 80% of its initial efficiency after over 1300 h of continuous 1‐sun operation
10.1002/adfm.74893,10.1002/adfm.74893,single_junction,4000,,a T 80 lifetime exceeding 4000 h under ISOS‐L‐1I protocol
10.1021/jacs.6c02548,10.1021/jacs.6c02548,single_junction,,ISOS-L-2,
10.1007/s40820-026-02145-4,10.1007/s40820-026-02145-4,single_junction,,ISOS-L-2,
10.1021/acsenergylett.5c03999,10.1021/acsenergylett.5c03999,single_junction,,ISOS-L-3,
10.1021/acsenergylett.6c00385,10.1021/acsenergylett.6c00385,single_junction,,ISOS-L-1,
