arm,month,work_key,field,value,architecture,grounded,cross_paper,sq_violation
ungated_baseline,2026-01,10.1002/adfm.202521919,pce_champion,22.5,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/adfm.202521919,pce_certified,20.04,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/adfm.202521919,t80_h,600,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/adfm.202524231,pce_champion,26.08,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/adfm.202526993,pce_champion,26.18,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/adfm.202529837,pce_champion,25.53,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/adfm.202530978,pce_champion,23.27,unknown,True,False,False
ungated_baseline,2026-01,10.1002/adfm.202531784,pce_champion,25.05,unknown,True,False,False
ungated_baseline,2026-01,10.1002/adfm.202531784,t80_h,1000,unknown,True,False,False
ungated_baseline,2026-01,10.1002/adfm.202531831,pce_champion,25.24,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/adfm.202531852,pce_champion,25.32,n-i-p,True,False,False
ungated_baseline,2026-01,10.1002/adma.202517596,pce_certified,27.1,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/adma.202518582,pce_champion,26.61,module,True,False,False
ungated_baseline,2026-01,10.1002/adma.202518582,active_area_cm2,100,module,True,False,False
ungated_baseline,2026-01,10.1002/adma.202519138,pce_champion,26.35,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/adma.202519138,t80_h,1392,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/adma.202519934,pce_champion,16.29,unknown,True,False,False
ungated_baseline,2026-01,10.1002/adma.202519934,pce_certified,15.88,unknown,True,False,False
ungated_baseline,2026-01,10.1002/adma.202521878,pce_champion,26.07,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/adma.202522652,pce_champion,25.23,n-i-p,True,False,False
ungated_baseline,2026-01,10.1002/adma.202523338,pce_champion,29.35,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1002/adma.202523338,pce_certified,28.98,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1002/adma.202523338,active_area_cm2,0.05,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1002/advs.202522461,pce_champion,23.14,n-i-p,True,False,False
ungated_baseline,2026-01,10.1002/aenm.202505931,pce_champion,13.78,module,True,False,False
ungated_baseline,2026-01,10.1002/aenm.202505931,active_area_cm2,900.0,module,False,False,False
ungated_baseline,2026-01,10.1002/aenm.202506140,pce_champion,22.19,unknown,True,False,False
ungated_baseline,2026-01,10.1002/aenm.202506619,pce_champion,31.85,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1002/aenm.202506630,pce_champion,21.67,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/aenm.202506634,pce_champion,28.41,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1002/anie.202513535,pce_champion,26.29,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/anie.202523665,pce_champion,26.6,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/anie.202523665,pce_certified,26.24,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/flm2.70033,pce_champion,20.77,unknown,True,False,False
ungated_baseline,2026-01,10.1002/pip.70070,pce_champion,22.93,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/rar2.70162,pce_champion,16.0,unknown,True,False,False
ungated_baseline,2026-01,10.1002/rar2.70162,pce_certified,15.06,unknown,True,False,False
ungated_baseline,2026-01,10.1002/smll.202508334,pce_champion,21.82,unknown,True,False,False
ungated_baseline,2026-01,10.1002/smll.202510652,pce_champion,28.63,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1002/smll.202512469,pce_champion,23.25,unknown,True,False,False
ungated_baseline,2026-01,10.1002/smll.202512942,pce_champion,26.12,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/smll.202513111,pce_champion,20.55,unknown,True,False,False
ungated_baseline,2026-01,10.1002/smll.202513842,pce_champion,22.97,p-i-n,True,False,False
ungated_baseline,2026-01,10.1002/smll.202514524,pce_champion,25.17,p-i-n,True,False,False
ungated_baseline,2026-01,10.1007/s40820-025-01959-y,pce_champion,30.97,p-i-n,True,False,False
ungated_baseline,2026-01,10.1007/s40820-025-01959-y,pce_certified,23.42,p-i-n,True,False,False
ungated_baseline,2026-01,10.1007/s40820-025-01962-3,pce_champion,29.73,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1007/s40820-025-01962-3,pce_certified,28.25,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1007/s40820-025-01962-3,active_area_cm2,0.135,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1007/s40820-025-02006-6,pce_champion,28.49,tandem_2T,True,False,False
ungated_baseline,2026-01,10.1007/s40820-025-02010-w,pce_champion,25.6,p-i-n,True,False,False
ungated_baseline,2026-01,10.1007/s40820-025-02037-z,pce_champion,26.49,tandem_2T,True,False,False
