work_key,states_pce,states_certified,states_area,states_t80,isos_protocol,pce_value
10.1002/adma.73679,Y,Y,N,Y,Y,
10.1002/anie.202519239,Y,N,N,Y,N,
10.1002/ente.202502206,Y,N,N,N,N,
10.1002/anie.4221605,Y,N,N,Y,Y,
10.1002/advs.76950,Y,N,Y,N,N,
10.1038/s41467-026-70848-8,Y,Y,Y,N,N,
10.1002/anie.5162616,Y,Y,Y,Y,N,
10.1126/sciadv.aec3238,Y,Y,Y,Y,Y,
10.1002/anie.202513535,Y,N,N,Y,N,
10.1002/adfm.76278,Y,Y,N,Y,N,
10.1002/cnma.70339,Y,N,N,N,N,
10.54691/1zd8kt57,Y,N,N,N,N,
10.1002/eem2.70366,N,N,N,N,N,
10.1002/pssr.70177,N,N,N,N,N,
10.1063/5.0304135,Y,N,N,N,N,
10.1021/acsnano.6c04084.s001,Y,N,N,Y,Y,
10.1002/adma.73024,Y,N,N,Y,N,
10.1002/adma.74220,Y,N,N,Y,N,
10.1002/anie.3095986,Y,Y,N,Y,N,
10.1002/smtd.70860,Y,N,Y,Y,Y,
10.1002/sus2.70073,N,N,N,N,N,
10.1088/2632-959x/ae6f36,Y,N,N,N,N,
10.1002/ente.70574,Y,N,N,N,N,
10.1002/ente.202502597,Y,N,N,Y,N,
10.1016/j.esci.2026.100601,Y,Y,Y,N,N,
10.1016/j.rineng.2026.110377,Y,N,N,N,N,
10.1016/j.joule.2026.102646,Y,N,N,N,N,
10.1002/adfm.77856,Y,N,N,N,N,
10.1038/s41467-026-69687-4,Y,Y,N,N,N,
10.1002/adpr.70226,Y,N,N,N,N,
10.1021/acsenergylett.5c03999,Y,N,N,Y,Y,
10.1038/s41467-026-69685-6,Y,Y,Y,Y,Y,
10.1038/s41467-025-68231-0,Y,Y,Y,Y,N,
10.1002/adma.202521697,Y,N,Y,Y,N,
10.1021/acs.jpclett.5c03817,N,N,N,N,N,
10.3390/ceramics9080087,N,N,N,N,N,
10.1002/adma.202519339,Y,Y,N,Y,Y,
10.37284/eaje.9.1.4347,Y,N,N,N,N,
10.1002/cnl2.70174,N,N,N,N,N,
10.1038/s41467-026-71845-7,Y,Y,Y,Y,Y,
10.1002/ange.8256065,Y,N,N,N,N,
10.1002/ente.70607,Y,N,Y,Y,N,
10.3390/chemistry8040039,N,N,N,N,N,
10.1016/j.nxmate.2026.102127,Y,N,N,N,N,
10.1002/ange.202519239,Y,N,N,Y,N,
10.11868/j.issn.1001-4381.2024.000267,Y,N,Y,N,N,
10.26599/emd.2026.9370089,Y,Y,N,N,N,
10.1016/j.joule.2026.102396,N,N,N,N,N,
10.1016/j.rineng.2026.108976,N,N,N,N,N,
10.1002/eem2.70481,N,N,N,N,N,
10.1002/ente.70559,N,N,N,N,N,
10.1002/anie.9551164,Y,Y,N,Y,Y,
10.1021/acsaem.6c01434,Y,N,N,N,N,
10.1021/acsami.6c06661.s001,Y,N,N,N,N,
10.1021/acs.accounts.5c00858,N,N,N,N,N,
10.1021/acsami.6c08990,N,N,N,N,N,
10.1134/s1063783425602917,N,N,N,N,N,
10.1002/adfm.76543,Y,N,Y,Y,Y,
10.1002/adfm.74914,Y,Y,Y,Y,Y,
10.1002/aenm.71282,Y,N,N,Y,N,
10.1021/acsami.6c07524,Y,Y,N,Y,N,
10.1002/aenm.70883,N,N,N,N,N,
10.1038/s41467-026-69264-9,Y,N,Y,N,N,
10.1021/acsami.5c25501,Y,N,N,N,N,
10.1002/adom.202503619,N,N,N,N,N,
10.1002/adma.73995,Y,Y,N,N,N,
10.1002/adfm.76167,Y,Y,Y,N,N,
10.1038/s41467-026-72160-x,Y,Y,N,Y,N,
10.1021/acs.nanolett.6c03508,Y,Y,N,N,N,
10.1063/5.0313807,Y,N,N,N,N,
10.1126/sciadv.aee4175,Y,Y,Y,Y,Y,
10.1002/adma.74758,Y,Y,N,Y,Y,
10.1088/1402-4896/ae5852,N,N,N,N,N,
10.1515/pac-2025-0657,N,N,N,N,N,
10.1016/j.revmat.2026.100244,N,N,N,N,N,
10.1002/adma.72738,Y,N,N,Y,N,
10.1021/jacsau.6c00354,Y,N,N,Y,N,
10.1002/smll.73439,Y,N,N,Y,N,
10.3390/ma19153341,Y,N,N,N,N,
10.1016/j.nxmate.2026.102676,Y,N,N,N,N,
10.17863/cam.127502,Y,Y,Y,Y,N,
10.1002/advs.76653,N,N,N,N,N,
10.1002/adma.73713,Y,N,N,Y,N,
10.1021/acsami.6c11057,Y,N,N,N,N,
10.1021/acsenergylett.6c00476,Y,Y,Y,N,N,
10.1021/jacs.6c06932,Y,N,Y,Y,Y,
10.1002/smll.202513162,N,N,N,N,N,
10.1016/j.mtcomm.2026.115918,N,N,N,N,N,
10.36948/ijfmr.2026.v08i03.80802,N,N,N,N,N,
10.1038/s41467-026-71301-6,Y,Y,Y,Y,N,
10.1021/acsami.6c00026,Y,N,N,Y,N,
10.1002/cey2.70260,Y,N,N,Y,N,
10.1016/j.rio.2026.101118,N,N,N,N,N,
10.1088/2631-8695/ae8fa6,Y,N,N,N,N,
10.1093/mam/ozag053.892,N,N,N,N,N,
10.1002/adma.202523338,Y,Y,Y,N,N,
10.1021/acsami.5c24570,N,N,N,N,N,
10.1021/acsaem.6c01764,Y,N,N,N,N,
10.21608/ejmtc.2026.463653.1361,N,N,N,N,N,
10.1002/solr.70421,N,N,N,N,Y,
