order,month,work_key,doi,title,venue,states_pce,states_certified,states_area,states_t80,isos_protocol,pce_value
1,2026-06,10.1002/adma.73679,10.1002/adma.73679,Quantifying Deep‐Level Defects‐Dominated Degradation for Commercially Viable Perovskite Solar Cells,Advanced Materials,,,,,,
2,2026-03,10.1002/anie.202519239,10.1002/anie.202519239,Pancake‐Like Surface Halide‐Fluorothiolate‐Enriched Au 12 Ag 30 Nanoclusters for Defect Passivation and Moisture Shielding in Perovskite Solar Cells,Angewandte Chemie International Edition,,,,,,
3,2026-02,10.1002/ente.202502206,10.1002/ente.202502206,Investigation of Performance of a Lead‐Free Flexible Perovskite Solar Cell Under Different Bending Modes,Energy Technology,,,,,,
4,2026-08,10.1002/anie.4221605,10.1002/anie.4221605,Decoupling Bidirectional Photochemical Degradation via Radical Scavenging for Stable Inverted Perovskite Solar Cells,Angewandte Chemie International Edition,,,,,,
5,2026-08,10.1002/advs.76950,10.1002/advs.76950,Anchor Engineering of Hole‐Selective Enamine‐Based Self‐Assembling Monolayers for Perovskite Solar Cells,Advanced Science,,,,,,
6,2026-03,10.1038/s41467-026-70848-8,10.1038/s41467-026-70848-8,Antimony oxide buffer layer for single- and double-junction perovskite-based solar cells,Nature Communications,,,,,,
7,2026-05,10.1002/anie.5162616,10.1002/anie.5162616,Molecular Pinning Effect in Composite Self‐Assembled Monolayers Enabling Efficient Perovskite/TOPCon Tandem Solar Cells,Angewandte Chemie International Edition,,,,,,
8,2026-04,10.1126/sciadv.aec3238,10.1126/sciadv.aec3238,Homogenizing out-of-plane strain distribution for high-performance flexible perovskite photovoltaics,Science Advances,,,,,,
9,2026-01,10.1002/anie.202513535,10.1002/anie.202513535,Triple‐Functional Hydrazide‐Based Modifier for Self‐Assembled Monolayers/Perovskite to Obtain 26.29%‐Efficiency Inverted MA‐Free Perovskite Solar Cells,Angewandte Chemie International Edition,,,,,,
10,2026-06,10.1002/adfm.76278,10.1002/adfm.76278,Engineering Buried Interfaces With a π ‐Ionic Lock for Efficient Perovskite Solar Cells,Advanced Functional Materials,,,,,,
11,2026-07,10.1002/cnma.70339,10.1002/cnma.70339,Performance Optimization of Inorganic CsPbI 3 Perovskite Solar Cells Using ZnO and SnO 2 Electron Transport Layers on Indium Tin Oxide and Fluorine‐Doped Tin Oxide Substrates,ChemNanoMat,,,,,,
12,2026-04,10.54691/1zd8kt57,10.54691/1zd8kt57,Simulation Study of Environmentally Friendly Lead-Free All-Perovskite Tandem Solar Cells,Scientific Journal of Technology,,,,,,
13,2026-05,10.1002/eem2.70366,10.1002/eem2.70366,Elementary Steps of Energy Conversion in Strongly Correlated Systems: Beyond Single Quasiparticles and Rigid Bands,Energy & environment materials,,,,,,
14,2026-04,10.1002/pssr.70177,10.1002/pssr.70177,Optical Density of Perovskite Films as a Novel Parameter in Statistical Modeling for Perovskite Solar Cells,physica status solidi (RRL) - Rapid Research Letters,,,,,,
15,2026-07,10.1063/5.0304135,10.1063/5.0304135,"Progress in semitransparent solar panels: Materials, efficiency, and applications",Journal of Renewable and Sustainable Energy,,,,,,
16,2026-07,10.1021/acsnano.6c04084.s001,10.1021/acsnano.6c04084.s001,Homogenizing Cesium Distribution via Rubidium Incorporation Enables Pure-Iodide 1.67 eV Bandgap Perovskite Solar Cells with Efficiency Exceeding 22%,Figshare,,,,,,
17,2026-04,10.1002/adma.73024,10.1002/adma.73024,Exciton‐Photon Critical Coupling in Size‐Tailored Quantum Dots Enables >22% Efficient and Stable Inverted CsPbI 3 Solar Cells,Advanced Materials,,,,,,
18,2026-07,10.1002/adma.74220,10.1002/adma.74220,Dynamic Strain Regulation Via Photoresponsive Fullerenes Enables High‐Performance and UV‐Robust Perovskite Solar Cells,Advanced Materials,,,,,,
