work_key,states_pce,states_certified,states_area,states_t80,isos_protocol,pce_value
10.26599/emd.2026.9370089,Y,Y,N,N,N,""
10.1002/anie.9551164,Y,Y,N,Y,Y,""
10.1016/j.joule.2026.102646,Y,N,N,N,N,""
10.1016/j.joule.2026.102396,N,N,N,N,N,""
10.1063/5.0313807,Y,N,N,N,N,""
10.1002/adpr.70226,Y,N,N,N,N,""
10.1126/sciadv.aec3238,Y,Y,Y,Y,Y,""
10.1002/anie.3095986,Y,Y,Y,Y,N,""
10.1016/j.esci.2026.100601,Y,Y,Y,N,N,""
10.36948/ijfmr.2026.v08i03.80802,N,N,N,N,N,""
10.1021/acsami.6c06661.s001,Y,N,N,N,N,""
10.1021/acsami.5c25501,Y,N,N,N,N,""
10.1002/adma.74220,Y,N,N,Y,N,""
10.1002/eem2.70366,N,N,N,N,N,""
10.3390/chemistry8040039,N,N,N,N,N,""
10.1016/j.rineng.2026.108976,N,N,N,N,N,""
10.1016/j.nxmate.2026.102676,Y,N,N,N,N,""
10.1002/sus2.70073,N,N,N,N,N,""
10.1002/ente.70559,N,N,N,N,N,""
10.1002/anie.5162616,Y,Y,Y,Y,N,""
