arm,work_key,field,value,architecture,grounded,cross_paper,sq_violation
ungated_baseline,10.1002/adfm.76731,pce_champion,16.16,unknown,True,False,False
ungated_baseline,10.1002/adfm.76731,t80_h,1150,unknown,True,False,False
ungated_baseline,10.1002/adfm.76848,pce_champion,25.67,n-i-p,True,False,False
ungated_baseline,10.1002/adfm.76848,t80_h,2500,n-i-p,True,False,False
ungated_baseline,10.1002/adfm.76878,pce_champion,25.75,p-i-n,True,False,False
ungated_baseline,10.1002/adfm.76878,t80_h,1440,p-i-n,True,False,False
ungated_baseline,10.1002/adfm.76974,pce_champion,25.73,unknown,True,False,False
ungated_baseline,10.1002/adfm.77015,pce_champion,26.33,n-i-p,True,False,False
ungated_baseline,10.1002/adfm.77015,t80_h,1200,n-i-p,True,False,False
ungated_baseline,10.1002/adfm.77164,pce_champion,26.15,p-i-n,True,False,False
ungated_baseline,10.1002/adfm.77164,t80_h,1000,p-i-n,True,False,False
ungated_baseline,10.1002/adfm.77175,pce_champion,25.76,n-i-p,True,False,False
ungated_baseline,10.1002/adfm.77175,t80_h,3000,n-i-p,True,False,False
ungated_baseline,10.1002/adfm.77211,pce_champion,26.07,n-i-p,True,False,False
ungated_baseline,10.1002/adfm.77373,pce_champion,26.32,n-i-p,True,False,False
ungated_baseline,10.1002/adfm.77373,t80_h,2000,n-i-p,True,False,False
ungated_baseline,10.1002/adfm.77378,pce_champion,26.13,unknown,True,False,False
ungated_baseline,10.1002/adfm.77378,t80_h,1000,unknown,True,False,False
ungated_baseline,10.1002/adma.73807,pce_champion,27.31,p-i-n,True,False,False
ungated_baseline,10.1002/adma.73807,pce_certified,27.31,p-i-n,True,False,False
ungated_baseline,10.1002/adma.73807,t80_h,3250,p-i-n,True,False,False
ungated_baseline,10.1002/adma.73886,pce_champion,26.33,p-i-n,True,False,False
ungated_baseline,10.1002/adma.73886,t80_h,1000,p-i-n,True,False,False
ungated_baseline,10.1002/adma.73950,pce_champion,26.7,unknown,True,False,False
ungated_baseline,10.1002/adma.74033,pce_champion,26.9,p-i-n,True,False,False
ungated_baseline,10.1002/adma.74033,pce_certified,26.14,p-i-n,True,False,False
ungated_baseline,10.1002/adma.74060,pce_champion,26.21,p-i-n,True,False,False
ungated_baseline,10.1002/adma.74078,pce_champion,30.13,tandem_2T,True,False,False
ungated_baseline,10.1002/adma.74078,pce_certified,29.57,tandem_2T,True,False,False
ungated_baseline,10.1002/adma.74183,pce_champion,25.92,tandem_2T,True,False,False
