work_key,doi,title,venue,publication_date,date_precision,source_month,type
10.1039/d4ee05849f,10.1039/d4ee05849f,Face-on oriented self-assembled molecules with enhanced π–π stacking for highly efficient inverted perovskite solar cells on rough FTO substrates,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee00189g,10.1039/d5ee00189g,One-stone-two-birds: over 26% efficiency in perovskite solar cells via synergistic crystallization & interface regulation,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ra07942f,10.1039/d4ra07942f,Key degradation mechanisms of perovskite solar cells and strategies for enhanced stability: issues and prospects,RSC Advances,2025-01-01,year,,article
10.1039/d5ma00010f,10.1039/d5ma00010f,Lead-free alternatives and toxicity mitigation strategies for sustainable perovskite solar cells: a critical review,Materials Advances,2025-01-01,year,,article
10.1039/d4ee05319b,10.1039/d4ee05319b,Redox mediator-modified self-assembled monolayer stabilizes a buried interface in efficient inverted perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4cs01107d,10.1039/d4cs01107d,Surface chemistry-engineered perovskite quantum dot photovoltaics,Chemical Society Reviews,2025-01-01,year,,article
10.1039/d4ee05533k,10.1039/d4ee05533k,From 20% single-junction organic photovoltaics to 26% perovskite/organic tandem solar cells: self-assembled hole transport molecules matter,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee00350d,10.1039/d5ee00350d,Homogenizing SAM deposition via seeding –OH groups for scalable fabrication of perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee04878d,10.1039/d4ee04878d,Photomechanically accelerated degradation of perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1109/access.2025.3558539,10.1109/access.2025.3558539,"A Comprehensive Review of Solar Photovoltaic Systems: Scope, Technologies, Applications, Progress, Challenges, and Recommendations",IEEE Access,2025-01-01,year,,article
10.1039/d5ee00524h,10.1039/d5ee00524h,Dual-site passivation by heterocycle functionalized amidinium cations toward high-performance inverted perovskite solar cells and modules,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee04029e,10.1039/d4ee04029e,Surpassing 90% Shockley–Queisser V OC limit in 1.79 eV wide-bandgap perovskite solar cells using bromine-substituted self-assembled monolayers,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4cs01231c,10.1039/d4cs01231c,Decoding recombination dynamics in perovskite solar cells: an in-depth critical review,Chemical Society Reviews,2025-01-01,year,,article
10.1039/d4ee05466k,10.1039/d4ee05466k,Buried interface modification for high performance and stable perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4cc06835a,10.1039/d4cc06835a,"Lead-free perovskites for solar cell applications: recent progress, ongoing challenges, and strategic approaches",Chemical Communications,2025-01-01,year,,article
10.1002/eom2.12511,10.1002/eom2.12511,Sustainable Approaches to Address Lead Toxicity in Halide Perovskite Solar Cells: A Review of Lead Encapsulation and Recycling Solutions,EcoMat,2025-01-01,year,,article
10.1039/d4ee05135a,10.1039/d4ee05135a,Unraveling the interfacial homogeneity and bulk crystallization for efficient and stable perovskite solar cells via ionic liquids,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee01083g,10.1039/d5ee01083g,High-performance inverted perovskite solar cells and modules via aminothiazole passivation,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee05462h,10.1039/d4ee05462h,Advanced carbon-based rear electrodes for low-cost and efficient perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4cs00427b,10.1039/d4cs00427b,"Integrative plasmonics: optical multi-effects and acousto-electric-thermal fusion for biosensing, energy conversion, and photonic circuits",Chemical Society Reviews,2025-01-01,year,,article
10.1039/d4ee05948d,10.1039/d4ee05948d,Guiding vertical growth and improving the buried interface of Pb–Sn perovskite films with 2D perovskite seeds for efficient narrow-bandgap perovskite solar cells and tandems,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee06027j,10.1039/d4ee06027j,Advancing all-perovskite two-terminal tandem solar cells: optimization of wide- and narrow-bandgap perovskites and interconnecting layers,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4cs00985a,10.1039/d4cs00985a,Steady state and transient absorption spectroscopy in metal halide perovskites,Chemical Society Reviews,2025-01-01,year,,article
10.1039/d5ee00073d,10.1039/d5ee00073d,A universal strategy for defects and interface management enables highly efficient and stable inverted perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee02269j,10.1039/d5ee02269j,A spatial structure regulation strategy modulated the solubility and compactness of novel face-on oriented bisphosphonate-anchored SAMs for efficient inverted perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee00563a,10.1039/d5ee00563a,Halogen anion pre-homogenization of sequentially deposited wide bandgap perovskites for commercial textured perovskite/silicon tandem solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee02385d,10.1039/d4ee02385d,All-inorganic CsPbI 2 Br perovskite solar cells with thermal stability at 250 °C and moisture-resilience via polymeric protection layers,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d5ee01369k,10.1039/d5ee01369k,In situ molecular compensation in wide-bandgap perovskites for efficient all-perovskite tandem solar cells,Energy & Environmental Science,2025-01-01,year,,article
10.1039/d4ee05604c,10.1039/d4ee05604c,Unveiling the impact of photoinduced halide segregation on performance degradation in wide-bandgap perovskite solar cells,Energy & Environmental Science,2025-01-01,year,,article
