work_key,source_month,axis,lens,architecture,field,value,unit,verbatim_anchor
10.1002/adfm.202504424,,defects,experimental,p-i-n,pce_champion,26.14,%,"The remarkably suppressed nonradiative recombination losses enable efficient inverted devices with a PCE of 26.14%, which is one of the highest PCEs reported for the"
10.1007/s42114-024-01208-7,,defects,experimental,n-i-p,pce_champion,23,%,with the corresponding devices exhibiting efficiencies of more than 23% (0.04 cm 2 )
10.1007/s42114-024-01208-7,,defects,experimental,n-i-p,active_area_cm2,0.04,cm2,with the corresponding devices exhibiting efficiencies of more than 23% (0.04 cm 2 )
10.1002/solr.202500319,,defects,experimental,unknown,pce_champion,21.1,%,"Optimized GuaX treatments substantially enhance photovoltaic performance, with GuaCl‐treated PSCs achieving a power conversion efficiency of 21.10%, an open‐circuit voltage of 1.15 V, and a"
10.1016/j.cej.2025.162942,,interfaces,experimental,p-i-n,pce_champion,25.3,%,"Consequently, the PCE of the PSCs modified with 3MTPAI increases from 23.90 % to 25.30 %."
10.1002/anie.202504237,,interfaces,experimental,tandem_2T,pce_champion,31.56,%,affording PCEs of 31.56% (area: 1.07 cm 2 ) and 26.57% (area: 20.06 cm 2 )
10.1002/anie.202504237,,interfaces,experimental,tandem_2T,pce_certified,25.45,%,The single‐junction champion inverted PSC devices based on syn‐SAM deliver power conversion efficiencies (PCEs) of 25.75% (certified 25.45%) and 22.76% (area: 0.105 cm 2 )
10.1002/anie.202504237,,interfaces,experimental,tandem_2T,active_area_cm2,1.07,cm2,affording PCEs of 31.56% (area: 1.07 cm 2 ) and 26.57% (area: 20.06 cm 2 )
10.1002/adma.202508740,,interfaces,experimental,p-i-n,pce_certified,24.9,%,"Using this approach, PSCs are demonstrated with a certified quasi-steady-state power conversion efficiency of 24.9% and maintain 80% of the initial efficiency after 900 h"
10.1002/adma.202518406,,interfaces,experimental,p-i-n,pce_champion,26.15,%,"Consequently, the PSCs based on TDCA interface layer achieved a champion PCE of 26.15%."
10.1002/adma.202513884,,defects,theory,unknown,pce_champion,25.35,%,"Consequently, the PSCs fabricated with AdF‐BCz achieved a notable efficiency of 25.35%, outperforming devices based on SdF‐BCz (23.12%) and NF‐BCz (24.2%)."
10.1007/s12598-024-03108-7,,interfaces,theory,unknown,pce_champion,10.37,%,"Specifically, TiO 2 ‐based PSCs achieved a PCE of 10.37% efficiency, higher than SnO 2 ‐ or ZnO‐based PSCs."
10.1021/acsami.5c01653,,interfaces,experimental,p-i-n,pce_champion,14.7,%,"Consequently, the Sn–PSCs based on the PEDOT:PSS/2PADCB film achieve a champion efficiency of 14.7%, higher than that of their pristine counterpart (12.5%)."
10.1002/aenm.202500650,,defects,experimental,unknown,pce_champion,22.1,%,"The devices incorporating SBP achieved a power conversion efficiency (PCE) of up to 22.1%, which is the state‐of‐the‐art result for the WBG PSCs (≥1.68 eV)"
10.1002/aenm.202500650,,defects,experimental,unknown,active_area_cm2,1.05,cm2,"In addition, the same protocol produces a PCE of 20.1% for a larger area cell (1.05 cm 2 ), and a PCE of over 19.5%"
10.1021/acsnano.5c15499,,defects,experimental,p-i-n,pce_champion,22.2,%,"the resulting inverted device achieves a power conversion efficiency (PCE) of 22.2%, one of the highest PCE for air-processed WBG PSCs"
10.1021/acsenergylett.5c01745,,defects,experimental,unknown,pce_champion,23.33,%,DOAAc-passivated Sn–Pb PSCs achieve a record efficiency of 23.33% for gas-quenching fabricated devices
10.1002/anie.202510925,,defects,theory,unknown,pce_champion,22.49,%,"the optimized device achieves a power conversion efficiency (PCE) of 22.49%, the highest reported value for this class of PSCs to date"
10.1002/adfm.202426078,,defects,experimental,n-i-p,pce_champion,25.09,%,resulting in a power conversion efficiency (PCE) of 25.09% for PSCs fabricated in air‐based processes
10.1002/adfm.202510831,,defects,theory,unknown,pce_champion,25.4,%,the fabricated device achieves an impressive power conversion efficiency (PCE) of 25.4%
10.1002/adfm.202515665,,defects,experimental,p-i-n,pce_champion,21.9,%,the inverted CsPbI 3−x Br x PSCs achieved a PCE of 21.9% under 1‐sun equivalent illumination and 42.6% under indoor light emiting diode (LED) lighting
10.1002/aenm.202500678,,defects,theory,unknown,pce_champion,25.49,%,"PSCs passivated with tert‐OAI achieved an impressive efficiency of 25.49%, with a V oc of 1.19 V, a J sc of 25.40 mA cm −"
10.1007/s40820-025-01655-x,,defects,experimental,unknown,pce_champion,24.95,%,"thereby, corresponding PSCs show an enhanced PCE of 24.95%"
10.1002/adma.202412692,,interfaces,experimental,tandem_4T,pce_champion,28.34,%,further delivering an impressive PCE of 28.34% for integrated four‐terminal tandem photovoltaics when combined with CuInGaSe 2 solar cells
10.1038/s41467-025-55815-z,,defects,experimental,n-i-p,pce_champion,25.37,%,This approach enables a power conversion efficiency (PCE) as high as 25.37% (25.18% certified) for n-i-p PSCs with stable operation at 65 °C and 1-sun
10.1038/s41467-025-55815-z,,defects,experimental,n-i-p,pce_certified,25.18,%,achieving certified efficiency of 25.18% for stable n-i-p devices
10.1016/j.esci.2025.100471,,interfaces,experimental,tandem_4T,pce_champion,31.02,%,"Additionally, a four-terminal tandem solar cell exhibits a PCE of 31.02% with +1.19%abs PCE increase for bottom cell by edge surface passivation."
10.1002/aenm.202501556,,interfaces,experimental,tandem_4T,pce_champion,28.71,%,"Four‐terminal all‐perovskite tandem solar cells by combining such a semitransparent WBG subcell with a 1.25 eV low‐bandgap PSC obtains a PCE of 28.71%, among the"
10.1002/anie.202419957,,interfaces,experimental,n-i-p,pce_champion,24.87,%,The FAPbI 3 perovskite solar cells based on BPS‐crosslinked SnO 2 layers achieved a champion efficiency of 24.87 % and retained 95 % of their
10.1002/anie.202514365,,interfaces,experimental,p-i-n,pce_champion,25.91,%,"Optimized devices achieve a champion power conversion efficiency of 25.91% with a high open‐circuit voltage of 1.202 V, while retaining 91% efficiency after 1000 h"
10.1002/anie.202516012,,interfaces,experimental,p-i-n,pce_champion,26.05,%,"Consequently, the power conversion efficiency (PCE) of the optimized perovskite solar cell (PSCs) increased from 24.22% to 26.05%, with the fill factor (FF) rising from"
10.1002/anie.202518800,,interfaces,experimental,tandem_2T,pce_champion,28.74,%,Integrating these devices into two-terminal all-perovskite tandem architectures further delivers a remarkable efficiency of 28.74%.
10.1021/acsenergylett.4c03065,,architecture,experimental,tandem_2T,pce_champion,23.4,%,"This device architecture results in significantly reduced optical and nonradiative losses, leading to champion device efficiency of 23.4% compared to 19.7% with the conventional layers,"
10.1002/adfm.202516393,,interfaces,experimental,n-i-p,pce_champion,25.6,%,"As a result, the optimized device achieves a power conversion efficiency (PCE) of 25.60% with substantially improved operational stability."
10.1021/acsenergylett.5c01081,,defects,experimental,unknown,pce_champion,25.92,%,"By utilizing DAB and BTS for a dual interface synergistic passivation strategy, we achieve an impressive efficiency of 25.92% (certified at 25.13%) and demonstrate remarkable"
10.1021/acsenergylett.5c01081,,defects,experimental,unknown,pce_certified,25.13,%,we achieve an impressive efficiency of 25.92% (certified at 25.13%)
10.1021/jacs.5c13145,,defects,experimental,unknown,pce_champion,25.8,%,"in perovskite solar cells, Rh-Py can markedly reduce nonradiative energy losses and enhance the open-circuit voltage, thereby achieving an impressive PCE of up to 25.80%."
10.1021/acs.jpclett.5c02124,,defects,experimental,unknown,pce_champion,24.12,%,the champion device achieves a power conversion efficiency of 24.12% with negligible hysteresis
10.1002/anie.202513869,,defects,experimental,n-i-p,pce_champion,25.83,%,the device based on MeS-TPA-Cbz-HAI achieved a notable power conversion efficiency (PCE) of 25.83%
10.1002/adfm.202424259,,defects,experimental,unknown,pce_champion,26.04,%,the PhDMADI‐passivated device achieves an impressive efficiency of 26.04%
10.1002/adfm.202507934,,defects,experimental,unknown,pce_champion,26.12,%,PSCs incorporating BAAc achieve a power conversion efficiency (PCE) of 26.12%
10.1002/aenm.202502409,,defects,experimental,unknown,pce_champion,26.39,%,the optimized PSCs demonstrate a champion power conversion efficiency (PCE) of 26.39% (certified 26.03%)
10.1002/aenm.202502409,,defects,experimental,unknown,pce_certified,26.03,%,the optimized PSCs demonstrate a champion power conversion efficiency (PCE) of 26.39% (certified 26.03%)
10.1002/adma.202506114,,interfaces,experimental,unknown,pce_champion,21.0,%,The synergistic effects yield a PCE enhancement from 19.4% to 21.0%.
10.1002/anie.202424483,,interfaces,experimental,unknown,pce_champion,23.61,%,"power conversion efficiencies (PCEs) of 21.64 % and 23.61 % are achieved for target flexible and rigid perovskite solar cells, respectively"
10.1002/adfm.202500168,,interfaces,experimental,p-i-n,pce_champion,22.4,%,The combine benefits enable efficient 1.67 eV WBG PSCs with a power conversion efficiency of 22.4% and a high open circuit voltage of 1.255 V
10.1039/d5ee02650d,,interfaces,experimental,tandem_2T,pce_champion,30.05,%,A cost-effective perovskite/PERC tandem solar cell achieved a record efficiency of 30.05%.
10.1016/j.nanoen.2025.111027,,interfaces,experimental,unknown,pce_champion,25.48,%,the dual-interface modified PSCs achieve a maximum PCE of 25.48 %
10.1002/advs.202512117,,interfaces,experimental,p-i-n,pce_champion,26.35,%,Optimized Me‐4PACz/BPPA‐based PSCs achieve a champion power conversion efficiency (PCE) of 26.35%
10.1002/adma.202500268,,stability,experimental,unknown,pce_champion,25.02,%,PSCs featuring ZnSb2O6‐x ETLs achieved a high power conversion efficiency of 25.02%
10.1002/adma.202503435,,defects,experimental,unknown,pce_champion,25.34,%,perovskite solar cells (PSCs) achieve a remarkable power conversion efficiency of 25.34% in small‐area devices
10.1002/adma.202503435,,defects,experimental,unknown,active_area_cm2,14.0,cm2,21.54% in 14.0 cm2 mini‐modules
10.1002/adma.202507435,,defects,experimental,unknown,pce_champion,24.72,%,the perovskite solar cell (PSC) fabricated using this operando strategy achieved an excellent power conversion efficiency (PCE) of 24.72%
10.1002/adma.202507435,,defects,experimental,unknown,active_area_cm2,61.6,cm2,Large‐area PSC modules fabricated using the proposed strategy achieved a PCE of 19.07% over an active area of 61.6 cm2
10.1002/adma.202507435,,defects,experimental,unknown,t80_h,144,h,retaining 82% of its initial PCE after 1580 h under simulated sunlight and 80% after 144 h under UV light
10.1021/acsaem.5c00341,,interfaces,experimental,unknown,pce_champion,22.97,%,enabling F-PSCs to attain a PCE of 22.97% with enhanced V OC from 1.06 to 1.18 V
10.1002/smll.202504930,,interfaces,experimental,unknown,pce_champion,25.78,%,the perovskite solar cells achieve a power conversion efficiency of 25.78% under simulated AM1.5 light conditions
10.1002/smll.202503256,,defects,experimental,p-i-n,pce_champion,25.47,%,results in the power conversion efficiency (PCE) improved to 25.47% (vs 23.08% of the control)
10.1038/s41467-025-63673-y,,architecture,experimental,tandem_2T,pce_champion,28.9,%,homogeneously passivated devices reaching certified efficiencies of 28.9% for an active area of 60 cm²
10.1038/s41467-025-63673-y,,architecture,experimental,tandem_2T,pce_certified,28.9,%,certified efficiencies of 28.9% for an active area of 60 cm²
10.1038/s41467-025-63673-y,,architecture,experimental,tandem_2T,active_area_cm2,60,cm2,reaching certified efficiencies of 28.9% for an active area of 60 cm²
10.1038/s41467-025-64274-5,,architecture,experimental,tandem_2T,pce_champion,29.6,%,its PCE reaches a significant level of 29.6 % (certified PCE of 28.9%)
10.1038/s41467-025-64274-5,,architecture,experimental,tandem_2T,pce_certified,28.9,%,certified PCE of 28.9%
10.1016/j.enconman.2025.119747,,interfaces,theory,n-i-p,pce_champion,24.28,%,exhibit a balanced interplay of R s and R sh leading to phenomenal efficiencies of 24.28% and 24.09% respectively
10.1126/sciadv.adv4501,,defects,experimental,unknown,pce_champion,29.01,%,enabling the fabrication of MA-free all-perovskite TSCs with an encouraging power conversion efficiency of 29.01% (certified at 28.52%)
10.1126/sciadv.adv4501,,defects,experimental,unknown,pce_certified,28.52,%,certified at 28.52%
10.1002/adma.202510967,,interfaces,experimental,n-i-p,pce_champion,25.3,%,the champion device fabricated entirely in air achieves a power conversion efficiency of 25.30%
10.1038/s41467-025-62393-7,,interfaces,experimental,unknown,pce_champion,24.32,%,our SC-PSCs achieved power conversion efficiency as high as 24.32%
10.1038/s41467-025-63389-z,,interfaces,scale_up,p-i-n,pce_champion,26.98,%,with a PCE of 26.98% (certified 26.65%)
10.1038/s41467-025-63389-z,,interfaces,scale_up,p-i-n,pce_certified,26.65,%,with a PCE of 26.98% (certified 26.65%)
10.1038/s41467-025-63389-z,,interfaces,scale_up,p-i-n,active_area_cm2,764,cm2,large-area module (764 cm2)
10.1038/s41467-025-64111-9,,interfaces,scale_up,p-i-n,pce_champion,26.02,%,PSCs with this HTL achieved a champion PCE of 26.02% (with an active area of 0.0655 cm2)
10.1038/s41467-025-64111-9,,interfaces,scale_up,p-i-n,pce_certified,19.5,%,20.21% at 749.276 cm2 (certified at 19.50%)
