month,quantity,n_detected,denominator,pct
2025-01,efficiency_stated,,,
2025-02,efficiency_stated,,,
2025-03,efficiency_stated,,,
2025-04,efficiency_stated,,,
2025-05,efficiency_stated,,,
2025-06,efficiency_stated,,,
2025-07,efficiency_stated,,,
2025-08,efficiency_stated,,,
2025-09,efficiency_stated,,,
2025-10,efficiency_stated,,,
2025-11,efficiency_stated,,,
2025-12,efficiency_stated,,,
2025-01,certified,,,
2025-02,certified,,,
2025-03,certified,,,
2025-04,certified,,,
2025-05,certified,,,
2025-06,certified,,,
2025-07,certified,,,
2025-08,certified,,,
2025-09,certified,,,
2025-10,certified,,,
2025-11,certified,,,
2025-12,certified,,,
2025-01,stabilised,,,
2025-02,stabilised,,,
2025-03,stabilised,,,
2025-04,stabilised,,,
2025-05,stabilised,,,
2025-06,stabilised,,,
2025-07,stabilised,,,
2025-08,stabilised,,,
2025-09,stabilised,,,
2025-10,stabilised,,,
2025-11,stabilised,,,
2025-12,stabilised,,,
2025-01,area_stated,,,
2025-02,area_stated,,,
2025-03,area_stated,,,
2025-04,area_stated,,,
2025-05,area_stated,,,
2025-06,area_stated,,,
2025-07,area_stated,,,
2025-08,area_stated,,,
2025-09,area_stated,,,
2025-10,area_stated,,,
2025-11,area_stated,,,
2025-12,area_stated,,,
2025-01,isos_label,,,
2025-02,isos_label,,,
2025-03,isos_label,,,
2025-04,isos_label,,,
2025-05,isos_label,,,
2025-06,isos_label,,,
2025-07,isos_label,,,
2025-08,isos_label,,,
2025-09,isos_label,,,
2025-10,isos_label,,,
2025-11,isos_label,,,
2025-12,isos_label,,,
2025-01,hysteresis,,,
2025-02,hysteresis,,,
2025-03,hysteresis,,,
2025-04,hysteresis,,,
2025-05,hysteresis,,,
2025-06,hysteresis,,,
2025-07,hysteresis,,,
2025-08,hysteresis,,,
2025-09,hysteresis,,,
2025-10,hysteresis,,,
2025-11,hysteresis,,,
2025-12,hysteresis,,,
YEAR_POOLED,efficiency_stated,2439,4730,51.6
YEAR_POOLED,certified,272,4730,5.8
YEAR_POOLED,stabilised,418,4730,8.8
YEAR_POOLED,area_stated,347,4730,7.3
YEAR_POOLED,isos_label,54,4730,1.1
YEAR_POOLED,hysteresis,147,4730,3.1
