work_key,month,device_class,pce_certified_pct,pce_champion_pct,lens,illumination
10.1002/adfm.202504424,2025-03,p-i-n,,26.14,experimental,AM1.5G
10.1007/s42114-024-01208-7,2025-04,n-i-p,,23,experimental,AM1.5G
10.1002/solr.202500319,2025-06,unspecified,,21.1,experimental,AM1.5G
10.1016/j.cej.2025.162942,2025-04,p-i-n,,25.3,experimental,AM1.5G
10.1002/adma.202508740,2025-08,p-i-n,24.9,,experimental,AM1.5G
10.1002/adma.202518406,2025-12,p-i-n,,26.15,experimental,AM1.5G
10.1021/acsami.5c01653,2025-03,p-i-n,,14.7,experimental,AM1.5G
10.1002/aenm.202500650,2025-05,unspecified,,22.1,experimental,AM1.5G
10.1021/acsnano.5c15499,2025-12,p-i-n,,22.2,experimental,AM1.5G
10.1021/acsenergylett.5c01745,2025-08,unspecified,,23.33,experimental,AM1.5G
10.1002/adfm.202426078,2025-06,n-i-p,,25.09,experimental,AM1.5G
10.1007/s40820-025-01655-x,2025-02,unspecified,,24.95,experimental,AM1.5G
10.1038/s41467-025-55815-z,2025-01,n-i-p,25.18,25.37,experimental,AM1.5G
10.1002/anie.202419957,2025-01,n-i-p,,24.87,experimental,AM1.5G
10.1002/anie.202514365,2025-09,p-i-n,,25.91,experimental,AM1.5G
10.1002/anie.202516012,2025-10,p-i-n,,26.05,experimental,AM1.5G
10.1002/adfm.202516393,2025-08,n-i-p,,25.6,experimental,AM1.5G
10.1021/acsenergylett.5c01081,2025-06,unspecified,25.13,25.92,experimental,AM1.5G
10.1021/jacs.5c13145,2025-12,unspecified,,25.8,experimental,AM1.5G
10.1021/acs.jpclett.5c02124,2025-09,unspecified,,24.12,experimental,AM1.5G
10.1002/anie.202513869,2025-10,n-i-p,,25.83,experimental,AM1.5G
10.1002/adfm.202424259,2025-03,unspecified,,26.04,experimental,AM1.5G
10.1002/adfm.202507934,2025-04,unspecified,,26.12,experimental,AM1.5G
10.1002/aenm.202502409,2025-07,unspecified,26.03,26.39,experimental,AM1.5G
10.1002/adma.202506114,2025-05,unspecified,,21.0,experimental,AM1.5G
10.1002/anie.202424483,2025-01,unspecified,,23.61,experimental,AM1.5G
10.1002/adfm.202500168,2025-02,p-i-n,,22.4,experimental,AM1.5G
10.1016/j.nanoen.2025.111027,2025-04,unspecified,,25.48,experimental,AM1.5G
10.1002/advs.202512117,2025-09,p-i-n,,26.35,experimental,AM1.5G
10.1002/adma.202500268,2025-03,unspecified,,25.02,experimental,AM1.5G
10.1002/adma.202503435,2025-05,unspecified,,25.34,experimental,AM1.5G
10.1002/adma.202507435,2025-07,unspecified,,24.72,experimental,AM1.5G
10.1021/acsaem.5c00341,2025-03,unspecified,,22.97,experimental,AM1.5G
10.1002/smll.202504930,2025-07,unspecified,,25.78,experimental,AM1.5G
10.1002/smll.202503256,2025-05,p-i-n,,25.47,experimental,AM1.5G
10.1002/adma.202510967,2025-08,n-i-p,,25.3,experimental,AM1.5G
10.1038/s41467-025-62393-7,2025-08,unspecified,,24.32,experimental,AM1.5G
10.1038/s41467-025-63389-z,2025-09,p-i-n,26.65,26.98,scale_up,AM1.5G
10.1038/s41467-025-64111-9,2025-10,p-i-n,19.5,26.02,scale_up,AM1.5G
10.1038/s41467-025-66421-4,2025-12,p-i-n,26.28,26.5,experimental,AM1.5G
10.1021/acsenergylett.4c03282,2025-01,n-i-p,,22.14,experimental,AM1.5G
10.1021/acsami.5c01228,2025-04,p-i-n,,24.74,experimental,AM1.5G
10.1021/acsami.5c15868,2025-10,p-i-n,,23.31,experimental,AM1.5G
10.1002/aenm.202405571,2025-01,p-i-n,,24.82,experimental,AM1.5G
10.1002/aenm.202404617,2025-01,p-i-n,,23,experimental,AM1.5G
10.1002/aenm.202500572,2025-03,p-i-n,25.0,25.3,experimental,AM1.5G
10.1002/aenm.202502006,2025-06,n-i-p,,21.36,experimental,AM1.5G
10.1016/j.cej.2025.171437,2025-12,unspecified,,26.67,experimental,AM1.5G
10.1002/adfm.202505921,2025-05,unspecified,,26.04,experimental,AM1.5G
10.1002/adfm.202512188,2025-08,p-i-n,,21.19,experimental,AM1.5G
10.1002/adfm.202512300,2025-09,unspecified,,14.18,experimental,AM1.5G
10.1002/adfm.202520372,2025-11,p-i-n,,26.16,experimental,AM1.5G
10.1039/d4ee05466k,,unspecified,,25.8,experimental,AM1.5G
10.1039/d4ee04555f,,unspecified,,25.69,experimental,AM1.5G
10.1002/adma.202505115,2025-06,p-i-n,26.79,27.18,experimental,AM1.5G
10.1002/adma.202512308,2025-12,unspecified,,22.16,experimental,AM1.5G
10.1002/smll.202504515,2025-06,p-i-n,,25.63,experimental,AM1.5G
10.1021/acsaem.5c00747,2025-06,unspecified,,18.52,experimental,AM1.5G
10.1002/solr.202500331,2025-07,unspecified,,24.32,experimental,AM1.5G
10.1021/acsaem.5c02115,2025-09,n-i-p,,14.65,experimental,AM1.5G
10.1002/smll.202510731,2025-11,unspecified,,25.3,experimental,AM1.5G
10.1002/smll.202511139,2025-11,unspecified,,25.78,experimental,AM1.5G
10.1002/adma.202419413,2025-02,p-i-n,26.21,26.74,experimental,AM1.5G
10.1038/s41467-025-62388-4,2025-07,unspecified,,26.21,experimental,AM1.5G
10.1021/acsnano.5c01479,2025-04,p-i-n,,22.15,scale_up,AM1.5G
10.1002/anie.202425605,2025-03,p-i-n,25.59,25.77,experimental,AM1.5G
10.1002/anie.202502244,2025-03,p-i-n,,25.69,experimental,AM1.5G
10.1002/anie.202505470,2025-03,n-i-p,,25.41,experimental,AM1.5G
10.1002/anie.202510255,2025-07,n-i-p,26.12,26.15,experimental,AM1.5G
10.1002/anie.202509529,2025-08,n-i-p,,25.85,experimental,AM1.5G
10.1002/anie.202524079,2025-12,p-i-n,,26.03,experimental,AM1.5G
10.1002/adfm.202425443,2025-03,unspecified,26.05,26,experimental,AM1.5G
10.1002/adfm.202519195,2025-09,unspecified,,25.48,experimental,AM1.5G
10.1007/s40820-025-01817-x,2025-06,unspecified,,21.54,experimental,AM1.5G
10.1007/s40820-025-01855-5,2025-08,unspecified,,25.13,experimental,AM1.5G
10.1021/jacs.5c20051,2025-12,unspecified,25.11,26.16,experimental,AM1.5G
10.1002/rar2.70082,2025-12,n-i-p,,23.94,experimental,AM1.5G
10.1002/anie.202512061,2025-09,unspecified,,22.97,experimental,AM1.5G
10.1021/acsami.5c18376,2025-12,unspecified,,24.42,experimental,AM1.5G
10.1002/adfm.202510279,2025-07,p-i-n,,23.52,experimental,AM1.5G
10.1039/d5ee06342f,2025-12,p-i-n,,26.45,experimental,AM1.5G
10.1126/sciadv.adu3493,2025-05,p-i-n,,26.0,experimental,AM1.5G
10.1038/s41467-025-66478-1,2025-12,unspecified,,26.06,experimental,AM1.5G
10.1021/acsenergylett.5c02613,2025-10,unspecified,,24.61,experimental,AM1.5G
10.1002/smll.202411247,2025-01,unspecified,,20.24,experimental,AM1.5G
10.1002/smll.202412837,2025-04,unspecified,,21.35,experimental,AM1.5G
10.1002/smll.202411259,2025-04,unspecified,,24.82,experimental,AM1.5G
10.1002/smll.202506782,2025-08,n-i-p,,25.52,experimental,AM1.5G
10.1002/smll.202506053,2025-10,n-i-p,,24.06,experimental,AM1.5G
10.1021/acsenergylett.5c01437,2025-06,p-i-n,,25.1,experimental,AM1.5G
10.1021/jacs.5c05341,2025-06,p-i-n,,25.01,experimental,AM1.5G
10.1002/adfm.202502152,2025-04,unspecified,,20.1,experimental,AM1.5G
10.1002/adfm.202510458,2025-07,unspecified,26.35,26.51,experimental,AM1.5G
10.1002/aenm.202405441,2025-01,unspecified,,25.33,experimental,AM1.5G
10.1002/aenm.202501113,2025-04,unspecified,,23.55,experimental,AM1.5G
10.1002/aenm.202504299,2025-10,p-i-n,,20.36,experimental,AM1.5G
10.1002/aenm.202503780,2025-10,unspecified,26.3,26.6,experimental,AM1.5G
10.1002/aenm.202504647,2025-11,n-i-p,,25.73,scale_up,AM1.5G
10.1021/acsami.4c19086,2025-02,unspecified,,22.42,experimental,AM1.5G
10.1021/acsami.4c21627,2025-03,p-i-n,,24.02,experimental,AM1.5G
10.1021/acsami.5c11948,2025-07,p-i-n,,24.1,experimental,AM1.5G
10.1021/acsami.5c16972,2025-10,p-i-n,,23.68,experimental,AM1.5G
