work_key,month,t80_hours,protocol
10.1002/adma.202507435,2025-07,144,
10.1021/acsenergylett.5c01010,2025-06,723,
10.1007/s40820-025-01855-5,2025-08,500,
10.1002/adfm.202510279,2025-07,1951,
10.1126/sciadv.adu3493,2025-05,500,
10.1038/s41467-025-66480-7,2025-12,3200,ISOS-L-2
10.1007/s40820-024-01631-x,2025-02,755,
10.1002/adma.202500988,2025-04,1000,
10.1002/smll.202412628,2025-04,2500,
10.1002/adma.202505475,2025-07,1000,
10.1021/jacs.5c13264,2025-09,1123,
10.1002/adma.202502142,2025-04,600,
10.1002/adma.202504321,2025-06,501,
10.48550/arxiv.2510.08401,2025-10,600,ISOS-D-2
10.26434/chemrxiv-2025-d8194,2025-02,275,ISOS L-1 and L-2
